seed,HEFT,DHEFT,NHEFT,time_sec
6347,172.88489999999993,43.201499999999996,39.848791479820626,3.4128079414367676
7536,172.94069999999996,44.1525,37.07068147808764,3.9315860271453857
4078,171.86810000000008,50.5392,40.48802932159783,3.5037002563476562
4726,208.48820000000012,50.555400000000006,49.8387925925926,3.773792028427124
5978,258.68389999999994,60.33990000000001,56.17143492692327,4.481997966766357
8836,160.10819999999973,40.62820000000001,37.43339535603715,4.154526948928833
3380,194.26100000000008,50.3308,45.30747435508346,3.787086009979248
3669,190.75980000000047,46.10130000000001,40.075744444444446,3.241283893585205
7882,178.4670000000002,48.8955,41.690701000000004,3.7625229358673096
2503,174.6022000000002,41.505399999999995,41.21188522550545,3.1322438716888428
5802,236.11610000000044,55.31890000000001,55.42739600798403,3.771406888961792
6455,308.72889999999984,51.98080000000001,42.82553933054394,4.367604970932007
5608,229.7225000000001,55.398999999999994,48.9940809815951,3.984790086746216
8258,185.9592999999997,53.400400000000005,46.4550420233463,4.191303014755249
7486,143.58729999999983,50.96050000000002,49.700989237668175,3.931896209716797
1839,140.07729999999978,41.43399999999999,38.87850110701107,3.1734797954559326
3282,257.00159999999937,48.082700000000024,39.75341693989071,4.02407693862915
3216,154.8325,43.79100000000001,35.5485602654424,3.969754219055176
9034,227.34579999999977,53.581100000000006,38.50194285714286,3.142162322998047
7143,184.3033999999999,45.4434,40.50485396825397,3.2041471004486084
2446,274.6874999999999,55.4358,42.46107377628033,3.7811248302459717
5924,136.61939999999973,42.625000000000014,41.53989108910891,3.382124900817871
8881,170.9081999999997,52.6995,42.192307457340505,4.53555703163147
6634,183.0009000000002,52.528,41.62435815485996,4.11170220375061
3097,185.25769999999994,50.1379,44.76722253110047,3.3692269325256348
1211,183.07239999999973,43.8128,51.41221918181818,3.838862895965576
1921,320.2432999999997,57.1082,40.158718465863444,4.286508798599243
2740,266.7656999999992,56.0052,55.29095043845683,4.524111986160278
3306,236.8045,51.88530000000001,39.51461819611211,3.6774520874023438
4366,143.44150000000022,47.3904,43.76119239766082,4.289222955703735
5455,171.77499999999986,48.47539999999999,45.38992962962964,4.667425870895386
