bucket_key,seed,is_complete,completed_variants,missing_variants
e11x,1087,True,"baseline,comp_advantage",
e11x,2010,True,"baseline,comp_advantage",
e11x,3899,True,"baseline,comp_advantage",
e11x,4410,True,"baseline,comp_advantage",
e11x,5641,True,"baseline,comp_advantage",
e11x,6027,True,"baseline,comp_advantage",
e11x,6523,True,"baseline,comp_advantage",
e11x,10602,True,"baseline,comp_advantage",
e11x,14714,True,"baseline,comp_advantage",
e11x,15262,True,"baseline,comp_advantage",
e11x,20773,True,"baseline,comp_advantage",
e11x,21327,True,"baseline,comp_advantage",
e11x,23329,True,"baseline,comp_advantage",
e11x,27243,True,"baseline,comp_advantage",
e11x,28388,True,"baseline,comp_advantage",
e11x,29523,True,"baseline,comp_advantage",
e11x,33347,True,"baseline,comp_advantage",
e11x,35721,True,"baseline,comp_advantage",
e11x,47925,True,"baseline,comp_advantage",
e11x,48268,True,"baseline,comp_advantage",
e11x,50264,True,"baseline,comp_advantage",
e11x,50984,True,"baseline,comp_advantage",
e11x,53408,True,"baseline,comp_advantage",
e11x,57519,True,"baseline,comp_advantage",
e11x,60194,True,"baseline,comp_advantage",
e11x,60220,True,"baseline,comp_advantage",
e11x,61677,True,"baseline,comp_advantage",
e11x,64745,True,"baseline,comp_advantage",
e11x,65523,True,"baseline,comp_advantage",
e11x,65843,True,"baseline,comp_advantage",
e11x,69527,True,"baseline,comp_advantage",
e11x,70327,True,"baseline,comp_advantage",
e11x,70730,True,"baseline,comp_advantage",
e11x,72146,True,"baseline,comp_advantage",
e11x,72402,True,"baseline,comp_advantage",
e11x,75919,True,"baseline,comp_advantage",
e11x,78435,True,"baseline,comp_advantage",
e11x,79088,True,"baseline,comp_advantage",
e11x,80721,True,"baseline,comp_advantage",
e11x,81222,True,"baseline,comp_advantage",
e11x,81911,True,"baseline,comp_advantage",
e11x,91728,True,"baseline,comp_advantage",
e11x,108225,True,"baseline,comp_advantage",
e11x,108511,True,"baseline,comp_advantage",
e11x,108594,True,"baseline,comp_advantage",
e11x,109654,True,"baseline,comp_advantage",
e11x,110055,True,"baseline,comp_advantage",
e11x,110116,True,"baseline,comp_advantage",
e11x,110682,True,"baseline,comp_advantage",
e11x,112316,True,"baseline,comp_advantage",
e11x,113260,True,"baseline,comp_advantage",
e11x,115403,True,"baseline,comp_advantage",
e11x,116436,True,"baseline,comp_advantage",
e11x,117059,True,"baseline,comp_advantage",
e11x,117791,True,"baseline,comp_advantage",
e11x,122745,True,"baseline,comp_advantage",
e11x,124685,True,"baseline,comp_advantage",
e11x,127154,True,"baseline,comp_advantage",
e11x,131782,True,"baseline,comp_advantage",
e11x,137602,True,"baseline,comp_advantage",
e11x,137693,True,"baseline,comp_advantage",
e11x,137836,True,"baseline,comp_advantage",
e11x,138451,True,"baseline,comp_advantage",
e11x,140763,True,"baseline,comp_advantage",
e11x,141574,True,"baseline,comp_advantage",
e11x,143022,True,"baseline,comp_advantage",
e11x,144274,True,"baseline,comp_advantage",
e11x,145299,True,"baseline,comp_advantage",
e11x,146585,True,"baseline,comp_advantage",
e11x,147537,True,"baseline,comp_advantage",
e11x,149047,True,"baseline,comp_advantage",
e11x,151000,True,"baseline,comp_advantage",
e11x,153349,True,"baseline,comp_advantage",
e11x,159109,True,"baseline,comp_advantage",
e11x,162375,True,"baseline,comp_advantage",
e11x,174052,True,"baseline,comp_advantage",
e11x,174431,True,"baseline,comp_advantage",
e11x,176967,True,"baseline,comp_advantage",
e11x,179329,True,"baseline,comp_advantage",
e11x,179499,True,"baseline,comp_advantage",
e11x,181404,True,"baseline,comp_advantage",
e11x,184906,True,"baseline,comp_advantage",
e11x,185527,True,"baseline,comp_advantage",
e11x,189090,True,"baseline,comp_advantage",
e11x,189568,True,"baseline,comp_advantage",
e11x,193272,True,"baseline,comp_advantage",
e11x,194493,True,"baseline,comp_advantage",
e11x,196697,True,"baseline,comp_advantage",
e11x,197314,True,"baseline,comp_advantage",
e11x,198288,True,"baseline,comp_advantage",
e11x,202788,True,"baseline,comp_advantage",
e11x,203906,True,"baseline,comp_advantage",
e11x,205178,True,"baseline,comp_advantage",
e11x,208263,True,"baseline,comp_advantage",
e11x,209510,True,"baseline,comp_advantage",
