bucket_key,bucket_label,result_dir,paired_seeds,matched_nccr_min,matched_nccr_max,matched_abs_diff_max,dheft_makespan_mean,dheft_vcpus_mean,nheft_makespan_mean,nheft_vcpus_mean,gheft_makespan_mean,gheft_vcpus_mean,gate_makespan_change_vs_nheft_pct_mean,gate_vcpu_reduction_vs_nheft_pct_mean,nheft_gain_over_dheft_pct_mean,gheft_gain_over_dheft_pct_mean
e11x,"(0.10, 0.18]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e11x/run_20260811_235816_151_500,488,0.1107,0.177,0.0199,41.18570327868853,42.049180327868854,40.988255665525074,55.19877049180328,66.94139644348611,38.27459016393443,63.53062932506556,30.541749368201575,0.47955564261391215,-62.54313648678125
e12x,"(0.18, 0.32]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e12x/run_20260812_011134_151_500,394,0.1801,0.2433,0.0199,41.78719796954314,42.545685279187815,41.577719942947446,56.4263959390863,65.56053160632958,37.609137055837564,56.67023306682891,33.23671848470456,0.48641814988522974,-56.12523334202377
e13x,"(0.32, 0.56]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e13x/run_20260812_014528_151_500,285,0.3201,0.4536,0.01999999999999999,46.00031789473684,44.17894736842105,44.76562774844325,58.17894736842105,71.06797451204258,34.34035087719298,57.58315960390222,40.75708366053828,2.6732594140002575,-53.898009061267
e14x,"(0.56, 1.00]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e14x/run_20260812_021640_151_500,173,0.588,0.8686,0.01980000000000004,56.32207630057803,43.71098265895954,50.84603091443983,56.104046242774565,74.99242112343002,29.670520231213874,48.733414517085386,46.686407029995536,9.58244545042015,-33.86687065901244
e15x,"(1.00, 1.78]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e15x/run_20260812_032013_151_500,108,1.105,1.6452,0.01970000000000005,72.84357499999999,41.02777777777778,56.84573647121236,49.425925925925924,80.15341608964539,25.675925925925927,41.23623314437697,47.65281071594517,21.767120172123,-9.892695674361478
e16x,"(1.78, 3.16]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e16x/run_20260812_032627_151_500,59,1.9421,2.8605,0.01990000000000003,100.83200847457628,35.05084745762712,69.60072850197123,45.13559322033898,94.87392214880832,21.88135593220339,38.020015804641716,50.83239988288925,30.562242578186275,5.158675867744898
e17x,"(3.16, 5.62]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e17x/run_20260812_104659_151_500,31,3.4964,4.9726,0.019700000000000273,147.15725806451613,28.903225806451612,95.02221783001858,42.58064516129032,143.6176254505709,17.161290322580644,51.51892751968361,59.72632585437517,34.85019453030863,2.3639488190156364
e18x,"(5.62, 10.00]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e18x/run_20260812_104726_151_500,12,7.0247,8.2499,0.018200000000000216,237.3896666666667,23.083333333333332,144.65842802399683,35.833333333333336,303.4203332642878,9.583333333333334,105.03273285871455,73.15258347071676,38.61855158360089,-23.818221982681475
