vnf_type_max,sfc_vnf_num,expected_tasks_per_type,HEFT_mean,HEFT_std,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,p_value,wilcoxon_p,n_runs
4,40,10.0,1434.7584180000003,196.59109867327496,144.26207,19.085315748445947,47.04356808282042,5.50167946245353,67.22267030072955,67.40590767139936,67.3267552329125,100,2.947316206051025e-82,3.89655984509591e-18,100
8,80,10.0,2870.6383839999994,298.9589657999693,287.19898300000006,29.50522696872832,52.79317797266097,5.322027800038582,81.53652448519306,81.5886637281202,81.64511391516255,100,1.761587582227477e-95,3.89655984509591e-18,100
12,120,10.0,4307.204316,331.28158133337865,430.448847,32.321673547741284,64.06880724675311,9.638266668339698,85.07016666164398,85.65154366146267,85.22843217567998,100,9.706665142950239e-108,3.89655984509591e-18,100
20,200,10.0,7187.0445100000015,413.72125892784857,718.2163129999998,40.96949839279837,91.49695831203988,13.61158101292238,87.24092209891492,87.52251075282703,87.3675762592317,100,7.797199782670285e-120,3.89655984509591e-18,100
