bucket_key,bucket_label,result_dir,planned_seed_count,recorded_seed_count,ok_seed_count,scenario_valid_seed_count,complete_seed_count,scenario_valid_rate_vs_recorded_pct,complete_rate_vs_recorded_pct,complete_rate_vs_valid_pct,paired_seeds,matched_nccr_min,matched_nccr_max,matched_rel_gap_min,matched_rel_gap_max,matched_idr_minus_ccr_min,dheft_makespan_mean,dheft_vcpus_mean,nheft_makespan_mean,nheft_vcpus_mean,gheft_makespan_mean,gheft_vcpus_mean,gate_makespan_change_vs_nheft_pct_mean,gate_vcpu_reduction_vs_nheft_pct_mean,nheft_gain_over_dheft_pct_mean,gheft_gain_over_dheft_pct_mean
e11y,"(0.10, 0.18]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e11y/run_20260811_235822_151_500,,500,500,274,274,54.800000000000004,54.800000000000004,100.0,274,0.1177,0.1792,20.301244269810084,51.32514544279248,0.012899999999999995,41.19295291970803,42.10948905109489,40.76987696223119,55.605839416058394,62.777599947206454,38.083941605839414,54.8601294889078,31.44455751634986,1.0592745240975237,-53.095951884125625
e12y,"(0.18, 0.32]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e12y/run_20260812_011148_151_500,,500,500,238,238,47.599999999999994,47.599999999999994,100.0,238,0.1809,0.2586,20.05194805194805,49.97638167217761,0.01899999999999999,42.418452100840334,42.89495798319328,41.7660646811053,57.14705882352941,66.56655443981985,36.96638655462185,59.675867521888286,34.966335082282754,1.5690634147457758,-57.98811465071608
e13y,"(0.32, 0.56]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e13y/run_20260812_014532_151_500,,500,500,184,184,36.8,36.8,100.0,184,0.3306,0.4811,20.005667327854916,46.466700559227256,0.0353,47.1887195652174,44.95108695652174,44.39239684604554,58.69565217391305,71.55347687659732,33.233695652173914,61.423742467328644,42.92921704481484,5.801279943247562,-51.478058451835956
e14y,"(0.56, 1.00]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e14y/run_20260812_021648_151_500,,500,500,154,154,30.8,30.8,100.0,154,0.5927,0.9248,20.013504388926403,42.46483590087074,0.06730000000000003,57.26402597402598,45.0,50.92942674799948,55.65584415584416,78.12926205136822,28.285714285714285,55.28554123106444,48.84453152924213,10.832752997777426,-35.48084308294637
e15y,"(1.00, 1.78]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e15y/run_20260812_032009_151_500,,500,500,397,397,79.4,79.4,100.0,397,1.0458,1.7513,20.01666792938859,56.47642679900745,0.11439999999999995,74.86722317380352,41.98992443324937,56.34432551494072,48.94458438287154,99.29474582547036,24.896725440806044,80.14058018236122,48.64930915679608,24.579992605179925,-33.928738051055014
e16y,"(1.78, 3.16]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e16y/run_20260812_032640_151_500,,500,500,186,186,37.2,37.2,100.0,186,1.9714,3.0606,20.0021316658969,43.73856102818562,0.2013999999999999,103.38474784946236,35.376344086021504,70.29373033755465,45.11827956989247,133.77855791211482,19.763440860215052,93.21152618989753,55.815155938911026,31.812607630165388,-31.785624516386026
e17y,"(3.16, 5.62]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e17y/run_20260812_104703_151_500,,500,500,199,199,39.800000000000004,39.800000000000004,100.0,199,3.4748,5.4317,20.204116934786352,43.97469810235767,0.3687,154.43615326633167,29.608040201005025,96.03410340002104,41.608040201005025,181.53095235815837,15.899497487437186,89.40460408065526,61.38486904500468,37.35947486432106,-18.794392132582477
e18y,"(5.62, 10.00]",/Users/tengfeisun/Developer/2026/with-downloadscheduling2022-t/experiments/four/e18y/run_20260812_104716_151_500,,500,500,254,254,50.8,50.8,100.0,254,6.2832,9.8037,20.142495205834184,46.56100330815187,0.7132999999999998,239.7545251968504,23.669291338582678,148.13669695915078,36.374015748031496,239.39466809884138,12.775590551181102,62.84136457913038,64.66332942664998,37.56835598600724,-0.6911629320222017
