seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,irt_only,GHEFT,0,0.0,0,0,1,0.088,0.0554,0.1434,,,,,,,,,,,,,,,,,37.621315989159896,1.1551,39,10,309,140,110,30,10.586078,0,ok,logs/seed_741896.log
430515,irt_only,GHEFT,0,0.0,0,0,1,0.0844,0.0595,0.1439,,,,,,,,,,,,,,,,,41.95542564102564,1.0374,39,8,322,139,118,21,13.628968,0,ok,logs/seed_430515.log
888075,irt_only,GHEFT,0,0.0,0,0,1,0.0842,0.0509,0.1351,,,,,,,,,,,,,,,,,48.039339711664475,1.2343,51,11,339,180,150,30,18.673056,0,ok,logs/seed_888075.log
914983,irt_only,GHEFT,0,0.0,0,0,1,0.0956,0.0676,0.1632,,,,,,,,,,,,,,,,,40.7051388400703,1.1397,39,9,300,147,122,25,14.336967,0,ok,logs/seed_914983.log
997971,irt_only,GHEFT,0,0.0,0,0,1,0.085,0.0492,0.1342,,,,,,,,,,,,,,,,,35.270102359108776,1.1854,52,11,338,148,128,20,41.514173,0,ok,logs/seed_997971.log
747642,irt_only,GHEFT,0,0.0,0,0,1,0.0749,0.0449,0.1198,,,,,,,,,,,,,,,,,45.08575283194058,1.0194,42,11,325,166,139,27,19.410287,0,ok,logs/seed_747642.log
664527,irt_only,GHEFT,0,0.0,0,0,1,0.0834,0.0677,0.1511,,,,,,,,,,,,,,,,,57.108446021642266,1.3875,42,9,317,137,122,15,22.720402,0,ok,logs/seed_664527.log
760044,irt_only,GHEFT,0,0.0,0,0,1,0.0732,0.0483,0.1215,,,,,,,,,,,,,,,,,52.82610291970803,1.0018,50,11,314,155,125,30,19.859551,0,ok,logs/seed_760044.log
215549,irt_only,GHEFT,0,0.0,0,0,1,0.0827,0.0603,0.143,,,,,,,,,,,,,,,,,44.57115474171163,1.2613,40,7,314,128,112,16,23.240056,0,ok,logs/seed_215549.log
370191,irt_only,GHEFT,0,0.0,0,0,1,0.0787,0.0589,0.1376,,,,,,,,,,,,,,,,,35.72169032258064,1.0087,46,9,328,121,102,19,24.421563,0,ok,logs/seed_370191.log
296947,irt_only,GHEFT,0,0.0,0,0,1,0.0733,0.0604,0.1337,,,,,,,,,,,,,,,,,54.89071818181818,1.1996,41,10,326,150,123,27,18.828431,0,ok,logs/seed_296947.log
963598,irt_only,GHEFT,0,0.0,0,0,1,0.0869,0.061,0.1479,,,,,,,,,,,,,,,,,44.38393394858272,1.1485,46,10,321,154,127,27,21.065387,0,ok,logs/seed_963598.log
388451,irt_only,GHEFT,0,0.0,0,0,1,0.0813,0.0548,0.1361,,,,,,,,,,,,,,,,,42.99335646731573,1.1401,45,10,332,151,119,32,18.547593,0,ok,logs/seed_388451.log
602873,irt_only,GHEFT,0,0.0,0,0,1,0.0767,0.0528,0.1295,,,,,,,,,,,,,,,,,52.96183258869908,1.0701,40,9,324,138,113,25,20.576053,0,ok,logs/seed_602873.log
122745,irt_only,GHEFT,0,0.0,0,0,1,0.0827,0.0499,0.1326,,,,,,,,,,,,,,,,,37.31776972111555,1.0757,56,12,329,151,128,23,19.577266,0,ok,logs/seed_122745.log
484762,irt_only,GHEFT,0,0.0,0,0,1,0.0839,0.0635,0.1474,,,,,,,,,,,,,,,,,36.89294744027304,1.0487,51,11,326,160,138,22,18.491684,0,ok,logs/seed_484762.log
514215,irt_only,GHEFT,0,0.0,0,0,1,0.0891,0.0517,0.1408,,,,,,,,,,,,,,,,,40.73329839142093,1.0325,48,10,328,170,143,27,18.740431,0,ok,logs/seed_514215.log
601161,irt_only,GHEFT,0,0.0,0,0,1,0.0725,0.0512,0.1237,,,,,,,,,,,,,,,,,48.23731304988089,1.0753,47,10,334,172,148,24,15.766386,0,ok,logs/seed_601161.log
78435,irt_only,GHEFT,0,0.0,0,0,1,0.0758,0.0482,0.124,,,,,,,,,,,,,,,,,51.962331266149874,1.1856,44,12,318,172,141,31,17.817982,0,ok,logs/seed_78435.log
480957,irt_only,GHEFT,0,0.0,0,0,1,0.0847,0.0508,0.1355,,,,,,,,,,,,,,,,,36.496654809843406,1.0386,44,11,328,161,143,18,17.786241,0,ok,logs/seed_480957.log
113260,irt_only,GHEFT,0,0.0,0,0,1,0.0924,0.065,0.1574,,,,,,,,,,,,,,,,,65.0794894409938,1.4203,40,10,327,186,148,38,23.194115,0,ok,logs/seed_113260.log
846854,irt_only,GHEFT,0,0.0,0,0,1,0.0794,0.0537,0.1331,,,,,,,,,,,,,,,,,40.72692630744849,1.1792,37,7,274,124,107,17,14.290073,0,ok,logs/seed_846854.log
422970,irt_only,GHEFT,0,0.0,0,0,1,0.0796,0.0642,0.1438,,,,,,,,,,,,,,,,,42.42540686427457,1.0891,54,10,301,145,120,25,17.269797,0,ok,logs/seed_422970.log
762973,irt_only,GHEFT,0,0.0,0,0,1,0.0933,0.0475,0.1408,,,,,,,,,,,,,,,,,41.236589213851765,1.0017,39,8,323,138,122,16,15.180544,0,ok,logs/seed_762973.log
303068,irt_only,GHEFT,0,0.0,0,0,1,0.0961,0.0738,0.1699,,,,,,,,,,,,,,,,,40.93264285714285,1.156,50,11,342,156,122,34,21.425308,0,ok,logs/seed_303068.log
701483,irt_only,GHEFT,0,0.0,0,0,1,0.0995,0.0672,0.1667,,,,,,,,,,,,,,,,,35.61762820512821,1.1469,44,10,311,157,130,27,14.70443,0,ok,logs/seed_701483.log
193272,irt_only,GHEFT,0,0.0,0,0,1,0.0847,0.066,0.1507,,,,,,,,,,,,,,,,,47.396965054602184,1.0492,48,10,326,163,126,37,20.48694,0,ok,logs/seed_193272.log
609026,irt_only,GHEFT,0,0.0,0,0,1,0.0784,0.0542,0.1326,,,,,,,,,,,,,,,,,40.189811532625185,1.1052,54,12,336,156,127,29,23.101061,0,ok,logs/seed_609026.log
385324,irt_only,GHEFT,0,0.0,0,0,1,0.0893,0.0693,0.1586,,,,,,,,,,,,,,,,,37.393463636363634,1.1484,44,11,331,137,121,16,18.805182,0,ok,logs/seed_385324.log
586699,irt_only,GHEFT,0,0.0,0,0,1,0.0814,0.06,0.1414,,,,,,,,,,,,,,,,,41.13908198198198,1.0557,41,10,299,134,112,22,17.908265,0,ok,logs/seed_586699.log
127154,irt_only,GHEFT,0,0.0,0,0,1,0.095,0.0664,0.1614,,,,,,,,,,,,,,,,,36.92504725111442,1.321,53,12,357,164,134,30,18.513699,0,ok,logs/seed_127154.log
140763,irt_only,GHEFT,0,0.0,0,0,1,0.0816,0.0549,0.1365,,,,,,,,,,,,,,,,,48.05883112582782,1.2429,36,8,313,152,137,15,17.359356,0,ok,logs/seed_140763.log
162375,irt_only,GHEFT,0,0.0,0,0,1,0.0919,0.0685,0.1604,,,,,,,,,,,,,,,,,44.44648086253369,1.0975,42,9,309,138,111,27,15.841761,0,ok,logs/seed_162375.log
320372,irt_only,GHEFT,0,0.0,0,0,1,0.0934,0.074,0.1674,,,,,,,,,,,,,,,,,43.80786228239846,1.1593,47,9,334,155,136,19,16.321124,0,ok,logs/seed_320372.log
911752,irt_only,GHEFT,0,0.0,0,0,1,0.098,0.0617,0.1597,,,,,,,,,,,,,,,,,44.015032904884315,1.1097,40,9,318,135,119,16,18.96481,0,ok,logs/seed_911752.log
185527,irt_only,GHEFT,0,0.0,0,0,1,0.0872,0.0552,0.1424,,,,,,,,,,,,,,,,,50.052836496350366,1.0282,54,12,333,171,150,21,19.747665,0,ok,logs/seed_185527.log
766339,irt_only,GHEFT,0,0.0,0,0,1,0.0927,0.0626,0.1553,,,,,,,,,,,,,,,,,48.373032345013456,1.2577,37,9,296,146,120,26,16.122933,0,ok,logs/seed_766339.log
911829,irt_only,GHEFT,0,0.0,0,0,1,0.0838,0.0569,0.1407,,,,,,,,,,,,,,,,,51.62678925979681,1.0215,42,8,315,136,99,37,21.320075,0,ok,logs/seed_911829.log
184906,irt_only,GHEFT,0,0.0,0,0,1,0.0893,0.0619,0.1512,,,,,,,,,,,,,,,,,52.146001572551825,1.2145,32,9,286,129,118,11,15.620696,0,ok,logs/seed_184906.log
189090,irt_only,GHEFT,0,0.0,0,0,1,0.0894,0.0491,0.1385,,,,,,,,,,,,,,,,,37.76145988700564,1.0624,38,7,302,127,112,15,18.547532,0,ok,logs/seed_189090.log
355619,irt_only,GHEFT,0,0.0,0,0,1,0.0739,0.0562,0.1301,,,,,,,,,,,,,,,,,52.762354601227,1.1446,41,12,312,160,130,30,16.353108,0,ok,logs/seed_355619.log
440123,irt_only,GHEFT,0,0.0,0,0,1,0.0788,0.0616,0.1404,,,,,,,,,,,,,,,,,47.31998139534885,1.0203,43,9,329,164,131,33,19.904316,0,ok,logs/seed_440123.log
65843,irt_only,GHEFT,0,0.0,0,0,1,0.0899,0.0512,0.1411,,,,,,,,,,,,,,,,,39.896673827699026,1.1245,39,7,289,129,101,28,11.750129,0,ok,logs/seed_65843.log
356002,irt_only,GHEFT,0,0.0,0,0,1,0.0935,0.0544,0.1479,,,,,,,,,,,,,,,,,49.38127318611987,1.3065,44,8,314,137,116,21,17.635559,0,ok,logs/seed_356002.log
546160,irt_only,GHEFT,0,0.0,0,0,1,0.0901,0.0563,0.1464,,,,,,,,,,,,,,,,,63.122056285178225,1.1254,46,11,313,173,150,23,17.753578,0,ok,logs/seed_546160.log
466702,irt_only,GHEFT,0,0.0,0,0,1,0.0717,0.0408,0.1125,,,,,,,,,,,,,,,,,42.72337590361446,1.1947,38,9,321,157,132,25,24.181244,0,ok,logs/seed_466702.log
108594,irt_only,GHEFT,0,0.0,0,0,1,0.0794,0.0535,0.1329,,,,,,,,,,,,,,,,,41.01746546463246,1.1885,46,13,329,157,128,29,22.514376,0,ok,logs/seed_108594.log
302326,irt_only,GHEFT,0,0.0,0,0,1,0.09,0.0572,0.1472,,,,,,,,,,,,,,,,,41.193406531204644,1.0168,43,10,340,162,137,25,18.06855,0,ok,logs/seed_302326.log
830943,irt_only,GHEFT,0,0.0,0,0,1,0.0911,0.0544,0.1455,,,,,,,,,,,,,,,,,42.02845327102804,1.1947,28,5,271,105,81,24,14.566053,0,ok,logs/seed_830943.log
774892,irt_only,GHEFT,0,0.0,0,0,1,0.0824,0.0474,0.1298,,,,,,,,,,,,,,,,,42.2507476821192,1.0501,44,9,349,167,136,31,22.490224,0,ok,logs/seed_774892.log
317399,irt_only,GHEFT,0,0.0,0,0,1,0.0895,0.0548,0.1443,,,,,,,,,,,,,,,,,38.552851633298204,1.0733,45,12,333,166,142,24,20.272817,0,ok,logs/seed_317399.log
179499,irt_only,GHEFT,0,0.0,0,0,1,0.0866,0.0547,0.1413,,,,,,,,,,,,,,,,,43.594441614906835,1.1014,46,10,331,179,143,36,15.291193,0,ok,logs/seed_179499.log
551935,irt_only,GHEFT,0,0.0,0,0,1,0.0944,0.0643,0.1587,,,,,,,,,,,,,,,,,59.14483513513512,1.1664,44,9,326,156,138,18,18.496566,0,ok,logs/seed_551935.log
751687,irt_only,GHEFT,0,0.0,0,0,1,0.0806,0.0436,0.1242,,,,,,,,,,,,,,,,,37.976825714229406,1.0833,43,10,306,154,127,27,16.835515,0,ok,logs/seed_751687.log
531148,irt_only,GHEFT,0,0.0,0,0,1,0.0827,0.0508,0.1335,,,,,,,,,,,,,,,,,48.496476859504135,1.0453,45,10,341,148,124,24,19.962323,0,ok,logs/seed_531148.log
594138,irt_only,GHEFT,0,0.0,0,0,1,0.0938,0.0604,0.1542,,,,,,,,,,,,,,,,,38.64098425381904,1.1163,45,8,305,141,111,30,15.906645,0,ok,logs/seed_594138.log
702028,irt_only,GHEFT,0,0.0,0,0,1,0.0908,0.0543,0.1451,,,,,,,,,,,,,,,,,43.976112296110415,1.1278,43,11,321,170,154,16,17.337509,0,ok,logs/seed_702028.log
492022,irt_only,GHEFT,0,0.0,0,0,1,0.0799,0.052,0.1319,,,,,,,,,,,,,,,,,44.07031297709924,1.155,41,11,327,155,129,26,16.861484,0,ok,logs/seed_492022.log
231332,irt_only,GHEFT,0,0.0,0,0,1,0.0886,0.0584,0.147,,,,,,,,,,,,,,,,,37.5256179941003,1.0575,49,11,339,145,120,25,19.004251,0,ok,logs/seed_231332.log
147537,irt_only,GHEFT,0,0.0,0,0,1,0.0931,0.0602,0.1533,,,,,,,,,,,,,,,,,46.28486716826265,1.0073,47,10,347,161,133,28,21.36361,0,ok,logs/seed_147537.log
109654,irt_only,GHEFT,0,0.0,0,0,1,0.0797,0.0613,0.141,,,,,,,,,,,,,,,,,48.45146212534058,1.1856,46,10,322,150,133,17,20.440302,0,ok,logs/seed_109654.log
357820,irt_only,GHEFT,0,0.0,0,0,1,0.0732,0.054,0.1272,,,,,,,,,,,,,,,,,34.321155307262565,1.1754,49,9,342,154,139,15,18.262207,0,ok,logs/seed_357820.log
813854,irt_only,GHEFT,0,0.0,0,0,1,0.0838,0.0548,0.1386,,,,,,,,,,,,,,,,,43.55648457223001,1.0042,49,11,327,162,134,28,20.262652,0,ok,logs/seed_813854.log
840701,irt_only,GHEFT,0,0.0,0,0,1,0.0817,0.0603,0.142,,,,,,,,,,,,,,,,,50.67719210526316,1.1644,43,8,347,141,122,19,23.448885,0,ok,logs/seed_840701.log
528112,irt_only,GHEFT,0,0.0,0,0,1,0.0943,0.0617,0.156,,,,,,,,,,,,,,,,,42.00294910096818,1.0015,41,8,298,125,108,17,16.360263,0,ok,logs/seed_528112.log
610245,irt_only,GHEFT,0,0.0,0,0,1,0.0922,0.063,0.1552,,,,,,,,,,,,,,,,,39.34874526129319,1.0757,49,11,315,164,140,24,17.924005,0,ok,logs/seed_610245.log
540631,irt_only,GHEFT,0,0.0,0,0,1,0.0862,0.0502,0.1364,,,,,,,,,,,,,,,,,40.58523165693431,1.1608,40,9,327,139,114,25,19.564815,0,ok,logs/seed_540631.log
670354,irt_only,GHEFT,0,0.0,0,0,1,0.0871,0.054,0.1411,,,,,,,,,,,,,,,,,40.66535174825175,1.0139,41,8,324,146,124,22,16.716484,0,ok,logs/seed_670354.log
416284,irt_only,GHEFT,0,0.0,0,0,1,0.0889,0.0644,0.1533,,,,,,,,,,,,,,,,,39.70461313383208,1.161,49,10,334,158,130,28,18.584497,0,ok,logs/seed_416284.log
853922,irt_only,GHEFT,0,0.0,0,0,1,0.0917,0.0736,0.1653,,,,,,,,,,,,,,,,,41.75078925194621,1.0049,44,8,335,156,128,28,17.66243,0,ok,logs/seed_853922.log
703771,irt_only,GHEFT,0,0.0,0,0,1,0.0898,0.0686,0.1584,,,,,,,,,,,,,,,,,38.160701444043326,1.0441,38,9,309,129,110,19,16.545566,0,ok,logs/seed_703771.log
131782,irt_only,GHEFT,0,0.0,0,0,1,0.0883,0.0597,0.148,,,,,,,,,,,,,,,,,35.35968781478473,1.1093,42,8,320,135,112,23,18.603487,0,ok,logs/seed_131782.log
793335,irt_only,GHEFT,0,0.0,0,0,1,0.0902,0.0682,0.1584,,,,,,,,,,,,,,,,,39.12735100671141,1.1096,46,9,284,143,124,19,17.838789,0,ok,logs/seed_793335.log
829835,irt_only,GHEFT,0,0.0,0,0,1,0.0768,0.0494,0.1262,,,,,,,,,,,,,,,,,41.213099454080776,1.1482,38,9,292,135,122,13,20.840954,0,ok,logs/seed_829835.log
517538,irt_only,GHEFT,0,0.0,0,0,1,0.0916,0.0532,0.1448,,,,,,,,,,,,,,,,,41.617533689839576,1.0401,45,10,320,142,125,17,20.052413,0,ok,logs/seed_517538.log
432977,irt_only,GHEFT,0,0.0,0,0,1,0.0872,0.0545,0.1417,,,,,,,,,,,,,,,,,47.2718776119403,1.0494,51,10,338,169,142,27,20.215511,0,ok,logs/seed_432977.log
202788,irt_only,GHEFT,0,0.0,0,0,1,0.0901,0.0581,0.1482,,,,,,,,,,,,,,,,,40.710836475869804,1.0381,48,9,320,153,117,36,19.585715,0,ok,logs/seed_202788.log
