vnf_type_max,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,p_value,wilcoxon_p,n_runs
5,26.541985999999994,3.19946209326922,10.516409739685294,1.525249024551703,60.1630935788497,60.83894696387845,60.41526217439748,100,7.367296253539861e-78,3.89655984509591e-18,100
10,48.179502,3.9519696624244536,14.33509544934346,1.5616655427492243,70.17519430817978,70.47837127116426,70.35419264068024,100,4.876028420308839e-100,3.89655984509591e-18,100
15,69.762006,4.937954665890306,17.338460517655534,1.9164187042779846,75.10398574207255,75.41701203390693,75.13216510292708,100,7.99705405676176e-108,3.89655984509591e-18,100
20,90.98492000000005,5.276591054551198,20.42431930137442,2.1311157016576607,77.5182064349268,78.0855003521259,77.69250779132066,100,1.699539835324526e-115,3.89655984509591e-18,100
