vnf_type_min,vnf_type_max,seed,HEFT,DHEFT,NHEFT,time_sec
1,5,6347,2147.0406000000007,27.012999999999995,11.940533286995512,3.4613780975341797
1,5,7536,1858.9812999999906,23.414500000000004,11.362601000000002,4.81551194190979
1,5,4078,1918.4530000000066,27.087300000000017,9.732104477611939,3.111142873764038
1,5,4726,1783.6296000000061,25.04730000000002,9.440900000000003,3.842458724975586
1,5,5978,2607.6523999999995,34.475199999999994,14.339716022391316,4.86287784576416
1,5,8836,2020.5931000000016,25.8194,9.0045,5.61772894859314
1,5,3380,2374.4718999999964,29.967400000000005,12.568039150227621,3.986541986465454
1,5,3669,2012.8527999999978,31.331100000000017,10.118800000000004,3.396091938018799
1,5,7882,1699.7906999999982,21.81470000000001,8.814200000000001,4.5486061573028564
1,5,2503,1771.3596999999952,22.8246,11.310201000000003,3.2750210762023926
1,5,5802,2289.048699999996,29.670199999999994,11.654449350649351,4.33666467666626
1,5,6455,2146.6269999999927,28.736099999999986,10.792571706263502,4.7807297706604
1,5,5608,2366.4646000000043,29.581500000000002,10.718501000000003,4.721711158752441
1,5,8258,2076.1641000000013,26.524099999999994,9.838796578538101,4.795058965682983
1,5,7486,1656.8358000000055,22.38920000000001,8.1286,4.8729248046875
1,5,1839,1951.5597999999986,24.766799999999993,9.827907248018118,3.886569023132324
1,5,3282,2032.0006000000012,25.272799999999993,10.61244799453552,5.501061916351318
1,5,3216,1978.544699999997,27.141099999999998,11.211861059714044,5.910271167755127
1,5,9034,1545.1526999999892,21.350700000000003,8.208099999999998,4.854207992553711
1,5,7143,1828.667700000004,25.999599999999997,9.150599999999999,5.653544187545776
1,5,2446,2016.4141000000013,27.29070000000001,10.616499999999997,7.2093517780303955
1,5,5924,2012.4581000000019,25.685399999999998,9.869891006056935,6.600478887557983
1,5,8881,1987.9323999999992,25.7436,9.437600000000002,8.829749822616577
1,5,6634,2165.880899999988,27.09619999999999,12.255285008237232,7.863214015960693
1,5,3097,2043.7004000000018,26.002399999999998,10.151889154704945,5.761962890625
1,5,1211,1559.0973999999967,21.612699999999997,8.017756244830437,9.396219730377197
1,5,1921,1825.40820000001,25.1246,9.436001000000003,10.005212783813477
1,5,2740,2027.9008999999958,28.0301,9.774400000000002,11.384432792663574
1,5,3306,1633.636699999999,22.068899999999992,9.514600000000003,7.44382119178772
1,5,4366,2223.9444,27.086299999999998,13.245464534075102,10.037895917892456
1,5,5455,2414.044899999994,27.9525,9.900200000000002,10.262925863265991
1,5,9095,2025.606099999982,28.840100000000003,10.797699999999997,7.3365418910980225
1,5,8562,2360.691299999995,35.36640000000001,11.094500000000005,7.419274091720581
1,5,9815,1608.498600000006,23.7721,8.506800000000002,8.126961946487427
