seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,b7_match
6347,249.6868000000002,43.394400000000005,41.11467195121951,3.2163279056549072,1.186,0.8319,2.0179,0.35409999999999997,True
7536,251.13940000000076,43.114799999999995,33.27076894634749,3.900049924850464,1.0731,0.7167,1.7898,0.35639999999999994,False
4078,220.47519999999983,46.079600000000006,49.18622063492062,2.87293004989624,1.0231,0.5113,1.5344,0.5117999999999999,False
4726,278.2728999999997,52.807500000000005,43.18533333333334,3.725343942642212,1.2463,0.9063,2.1526,0.33999999999999997,True
5978,237.52179999999956,72.7083,57.13023315339233,4.385096073150635,1.1167,0.6945,1.8112,0.4222,False
8836,228.7470000000003,42.5389,34.89809435214532,4.002342224121094,1.0725,0.7487,1.8212,0.3238,False
3380,278.69650000000007,51.072300000000006,37.684434147854134,3.960580825805664,1.1981,0.8304,2.0285,0.3676999999999999,True
3669,172.54869999999983,51.46090000000001,37.40940018416207,3.0665290355682373,1.0982,0.62,1.7182,0.47820000000000007,False
7882,249.6309999999995,47.4633,36.373717376306615,3.630743980407715,1.1087,0.7962,1.9049,0.3125,False
2503,253.0568000000006,43.97989999999999,36.926724404703975,2.8771960735321045,1.2271,0.8857,2.1128,0.34140000000000004,True
5802,240.0430999999997,62.164,41.90590043290043,3.432065010070801,1.0339,0.6573,1.6912,0.37660000000000005,False
6455,305.66419999999977,53.06289999999999,35.283528568204446,3.7010607719421382,1.0209,0.6289,1.6498,0.3919999999999999,False
5608,298.32719999999995,52.437100000000015,45.43286871165645,3.5300889015197754,0.9834,0.7377,1.7211,0.24570000000000003,False
8258,231.7884,50.761700000000005,36.91609555252919,4.118391036987305,1.084,0.8944,1.9784,0.1896000000000001,False
7486,185.25749999999957,44.117300000000014,40.16407125515056,3.835427045822144,1.148,0.8059,1.9539,0.34209999999999996,False
1839,202.39939999999984,41.74200000000001,40.99879160671462,3.156954050064087,1.1165,0.5723,1.6888,0.5442,False
3282,361.6023999999993,44.03380000000001,36.29645267175572,3.9570529460906982,1.0726,0.602,1.6746,0.4706,False
3216,223.4969000000005,48.2865,38.1588170257123,3.992233037948608,1.0259,0.7137,1.7396,0.31220000000000003,False
9034,233.47999999999973,42.2859,39.05688051441578,2.828218936920166,1.1659,0.6753,1.8412,0.4905999999999999,False
