seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,CCR_IDR_rel_gap_pct,b37_match
6347,1140.8110999999992,130.2707,89.25533134328359,3.281079053878784,2.2502,2.3386,4.5888,0.08840000000000003,3.8528591352859154,True
7536,1226.1635,130.98000000000002,87.80076011413968,4.231596946716309,2.0362,2.1538,4.19,0.11759999999999993,5.613365155131262,True
4078,1058.9169000000009,156.3955000000001,87.31402834366803,3.1514599323272705,1.9437,1.513,3.4567,0.4307000000000001,24.919721121300668,False
4726,1029.7645999999986,139.83949999999996,100.21662474438972,3.4076831340789795,2.3647,2.5346,4.8993,0.16990000000000016,6.935684689649547,True
5978,1066.829999999998,181.7416,104.94390088495577,4.828590154647827,2.1158,1.9618,4.0776,0.15400000000000014,7.553462821267417,True
8836,1023.7818000000004,126.68819999999998,88.69938757718121,7.983509063720703,2.0356,2.0635,4.0991,0.027899999999999814,1.3612744260935237,True
3380,1251.5345000000034,156.01380000000003,82.0421371775417,7.966344833374023,2.2674,2.3084,4.5758,0.040999999999999925,1.79203636522575,True
3669,801.5471999999996,136.0304,95.03965741239894,5.655584096908569,2.0774,1.7982,3.8756,0.2791999999999999,14.408091650325105,False
7882,1014.2151999999998,142.84690000000006,94.4138836561514,4.281137943267822,2.0951,2.2644,4.3595,0.16930000000000023,7.766945750659489,True
2503,1209.6019000000033,126.58040000000004,101.9992510144322,3.843926191329956,2.3252,2.6057,4.9309,0.28049999999999997,11.37723336510576,False
5802,1088.6990999999982,149.25859999999997,116.83199436794614,3.848450183868408,1.9611,1.8369,3.798,0.12420000000000009,6.540284360189578,True
6455,1005.640799999997,143.63260000000002,84.91125642168677,4.680325984954834,1.9366,1.7972,3.7338,0.1394000000000002,7.46692377738498,True
5608,1038.758499999996,142.1268,105.61170856438568,4.505170106887817,1.8664,2.034,3.9004,0.16759999999999975,8.593990359963067,True
8258,1075.7724000000017,153.17210000000006,91.40970233463035,5.440901041030884,2.0566,2.5597,4.6163,0.5030999999999999,21.796676992396506,False
7486,861.8329000000012,120.41589999999998,94.43034724697272,4.909933090209961,2.1793,2.3094,4.4887,0.1301000000000001,5.796778577316377,True
1839,950.359400000001,111.3369,79.28042415560883,4.2306718826293945,2.1136,1.6552,3.7688,0.4583999999999999,24.326045425599656,False
3282,917.4876000000002,119.2618,75.20907313114753,5.492742300033569,2.0284,1.7539,3.7823,0.27449999999999997,14.514977659096315,False
3216,1045.2338000000027,128.7564,107.56370698265712,5.4814369678497314,1.9406,2.0569,3.9975,0.11630000000000007,5.818636647904944,True
9034,1107.1093999999994,141.975,85.30109617489094,3.876941204071045,2.2059,1.9875,4.1934,0.21840000000000015,10.416368579195884,False
