effective_total_vnf_num,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,p_value,wilcoxon_p,n_runs
80,539.4039779999999,31.433680770365555,59.16458716324924,2.567752582587386,89.00713924917467,89.12300001176237,89.05580798933462,100,6.352768307798076e-121,3.89655984509591e-18,100
160,540.915393,30.672998195699453,60.55952360464662,2.843526295444377,88.78051130378236,88.88020666362723,88.84373233941585,100,6.501153997167803e-122,3.89655984509591e-18,100
240,541.9285850000001,30.744159976691492,61.53992969289399,3.1724636445675265,88.62469077132968,88.69915415502838,88.66328390289159,100,1.987064172825631e-122,3.89655984509591e-18,100
320,542.7798640000001,30.77383330699259,62.22838489969405,3.0920828381549903,88.51677459882163,88.607646214488,88.56010192189976,100,1.2093367268871413e-122,3.89655984509591e-18,100
