bucket_key,seed,is_complete,completed_variants,missing_variants
e11z,1087,True,"baseline,comp_advantage",
e11z,2010,True,"baseline,comp_advantage",
e11z,3899,True,"baseline,comp_advantage",
e11z,4410,True,"baseline,comp_advantage",
e11z,5641,True,"baseline,comp_advantage",
e11z,6027,True,"baseline,comp_advantage",
e11z,10602,True,"baseline,comp_advantage",
e11z,14714,True,"baseline,comp_advantage",
e11z,15262,True,"baseline,comp_advantage",
e11z,20773,True,"baseline,comp_advantage",
e11z,21327,True,"baseline,comp_advantage",
e11z,23329,True,"baseline,comp_advantage",
e11z,27243,True,"baseline,comp_advantage",
e11z,28388,True,"baseline,comp_advantage",
e11z,29523,True,"baseline,comp_advantage",
e11z,33347,True,"baseline,comp_advantage",
e11z,35721,True,"baseline,comp_advantage",
e11z,47925,True,"baseline,comp_advantage",
e11z,48268,True,"baseline,comp_advantage",
e11z,50264,True,"baseline,comp_advantage",
e11z,50984,True,"baseline,comp_advantage",
e11z,53408,True,"baseline,comp_advantage",
e11z,57519,True,"baseline,comp_advantage",
e11z,60194,True,"baseline,comp_advantage",
e11z,60220,True,"baseline,comp_advantage",
e11z,61677,True,"baseline,comp_advantage",
e11z,64745,True,"baseline,comp_advantage",
e11z,65523,True,"baseline,comp_advantage",
e11z,65843,True,"baseline,comp_advantage",
e11z,69527,True,"baseline,comp_advantage",
e11z,70327,True,"baseline,comp_advantage",
e11z,70730,True,"baseline,comp_advantage",
e11z,72146,True,"baseline,comp_advantage",
e11z,72402,True,"baseline,comp_advantage",
e11z,78435,True,"baseline,comp_advantage",
e11z,79088,True,"baseline,comp_advantage",
e11z,80721,True,"baseline,comp_advantage",
e11z,81222,True,"baseline,comp_advantage",
e11z,81911,True,"baseline,comp_advantage",
e11z,91728,True,"baseline,comp_advantage",
e11z,108225,True,"baseline,comp_advantage",
e11z,108511,True,"baseline,comp_advantage",
e11z,108594,True,"baseline,comp_advantage",
e11z,109654,True,"baseline,comp_advantage",
e11z,110055,True,"baseline,comp_advantage",
e11z,110116,True,"baseline,comp_advantage",
e11z,110682,True,"baseline,comp_advantage",
e11z,112316,True,"baseline,comp_advantage",
e11z,113260,True,"baseline,comp_advantage",
e11z,115403,True,"baseline,comp_advantage",
e11z,116436,True,"baseline,comp_advantage",
e11z,117059,True,"baseline,comp_advantage",
e11z,117791,True,"baseline,comp_advantage",
e11z,122745,True,"baseline,comp_advantage",
e11z,124685,True,"baseline,comp_advantage",
e11z,127154,True,"baseline,comp_advantage",
e11z,131782,True,"baseline,comp_advantage",
e11z,137602,True,"baseline,comp_advantage",
e11z,137693,True,"baseline,comp_advantage",
e11z,137836,True,"baseline,comp_advantage",
e11z,138451,True,"baseline,comp_advantage",
e11z,140763,True,"baseline,comp_advantage",
e11z,141574,True,"baseline,comp_advantage",
e11z,143022,True,"baseline,comp_advantage",
e11z,144274,True,"baseline,comp_advantage",
e11z,145299,True,"baseline,comp_advantage",
e11z,146585,True,"baseline,comp_advantage",
e11z,147537,True,"baseline,comp_advantage",
e11z,149047,True,"baseline,comp_advantage",
e11z,151000,True,"baseline,comp_advantage",
e11z,153349,True,"baseline,comp_advantage",
e11z,159109,True,"baseline,comp_advantage",
e11z,162375,True,"baseline,comp_advantage",
e11z,174052,True,"baseline,comp_advantage",
e11z,174431,True,"baseline,comp_advantage",
e11z,176967,True,"baseline,comp_advantage",
e11z,179329,True,"baseline,comp_advantage",
e11z,179499,True,"baseline,comp_advantage",
e11z,181404,True,"baseline,comp_advantage",
e11z,184906,True,"baseline,comp_advantage",
e11z,185527,True,"baseline,comp_advantage",
e11z,189090,True,"baseline,comp_advantage",
e11z,193272,True,"baseline,comp_advantage",
e11z,194493,True,"baseline,comp_advantage",
e11z,196697,True,"baseline,comp_advantage",
e11z,197314,True,"baseline,comp_advantage",
e11z,198288,True,"baseline,comp_advantage",
e11z,202788,True,"baseline,comp_advantage",
e11z,203906,True,"baseline,comp_advantage",
e11z,205178,True,"baseline,comp_advantage",
e11z,208263,True,"baseline,comp_advantage",
e11z,209510,True,"baseline,comp_advantage",
e11z,211351,True,"baseline,comp_advantage",
e11z,212694,True,"baseline,comp_advantage",
e11z,215549,True,"baseline,comp_advantage",
e11z,220410,True,"baseline,comp_advantage",
e11z,223610,True,"baseline,comp_advantage",
e11z,224195,True,"baseline,comp_advantage",
e11z,224478,True,"baseline,comp_advantage",
e11z,224701,True,"baseline,comp_advantage",
e11z,226267,True,"baseline,comp_advantage",
e11z,226589,True,"baseline,comp_advantage",
e11z,229225,True,"baseline,comp_advantage",
e11z,231332,True,"baseline,comp_advantage",
e11z,232555,True,"baseline,comp_advantage",
e11z,236634,True,"baseline,comp_advantage",
e11z,237902,True,"baseline,comp_advantage",
e11z,238922,True,"baseline,comp_advantage",
e11z,239617,True,"baseline,comp_advantage",
e11z,239744,True,"baseline,comp_advantage",
e11z,239950,True,"baseline,comp_advantage",
e11z,240715,True,"baseline,comp_advantage",
e11z,241117,True,"baseline,comp_advantage",
e11z,241442,True,"baseline,comp_advantage",
e11z,245421,True,"baseline,comp_advantage",
e11z,245466,True,"baseline,comp_advantage",
e11z,245576,True,"baseline,comp_advantage",
e11z,245912,True,"baseline,comp_advantage",
e11z,246441,True,"baseline,comp_advantage",
e11z,254791,True,"baseline,comp_advantage",
e11z,255407,True,"baseline,comp_advantage",
e11z,258973,True,"baseline,comp_advantage",
e11z,262875,True,"baseline,comp_advantage",
e11z,263035,True,"baseline,comp_advantage",
e11z,266300,True,"baseline,comp_advantage",
e11z,266747,True,"baseline,comp_advantage",
e11z,267093,True,"baseline,comp_advantage",
e11z,268333,True,"baseline,comp_advantage",
e11z,270600,True,"baseline,comp_advantage",
e11z,271983,True,"baseline,comp_advantage",
e11z,273040,True,"baseline,comp_advantage",
e11z,273298,True,"baseline,comp_advantage",
e11z,276209,True,"baseline,comp_advantage",
e11z,282114,True,"baseline,comp_advantage",
e11z,282392,True,"baseline,comp_advantage",
e11z,282842,True,"baseline,comp_advantage",
e11z,287728,True,"baseline,comp_advantage",
e11z,289817,True,"baseline,comp_advantage",
e11z,291361,True,"baseline,comp_advantage",
e11z,293374,True,"baseline,comp_advantage",
e11z,296343,True,"baseline,comp_advantage",
e11z,302326,True,"baseline,comp_advantage",
e11z,303068,True,"baseline,comp_advantage",
e11z,305476,True,"baseline,comp_advantage",
e11z,312904,True,"baseline,comp_advantage",
e11z,314686,True,"baseline,comp_advantage",
