seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,b1_match
6347,53.904000000000025,34.530899999999995,38.40359246341463,3.3270130157470703,0.5705,0.1263,0.6968,True
7536,65.47040000000015,34.45729999999999,34.75187921635434,3.87831711769104,0.516,0.1102,0.6262,True
4078,72.1060999999999,36.854499999999994,44.469476995940454,3.126392126083374,0.4919,0.0784,0.5703,True
4726,130.7742,35.2703,35.10541800680272,3.6674141883850098,0.5995,0.1375,0.737,True
5978,115.19850000000014,45.111600000000024,40.19366607669617,4.638262033462524,0.5372,0.1056,0.6428,True
8836,51.4954,37.147899999999986,30.745798544395928,4.906651020050049,0.5158,0.1134,0.6292,True
3380,107.02260000000024,38.3669,33.91781003010034,4.0028979778289795,0.5765,0.1259,0.7024,True
3669,73.7356,45.4483,35.11853199730458,3.1092400550842285,0.5285,0.0947,0.6232,True
7882,90.75620000000004,39.7689,33.004642918464704,3.7002692222595215,0.5336,0.1211,0.6547,True
2503,54.84430000000006,33.613,31.94398287937743,2.995506048202514,0.5902,0.1357,0.7259,True
5802,129.38229999999982,39.587,41.93298648895898,3.906949996948242,0.4972,0.0998,0.597,True
6455,98.49110000000012,37.7195,39.2666,4.051481008529663,0.491,0.0958,0.5868,True
5608,144.20539999999983,39.8483,38.305494865030674,4.531975746154785,0.4728,0.1116,0.5844,True
8258,135.1835000000003,45.0747,37.24323329571985,4.184805870056152,0.5213,0.1363,0.6576,True
7486,73.50830000000013,38.4063,36.61172089552239,3.9498870372772217,0.5519,0.1227,0.6746,True
1839,50.853800000000014,33.331999999999994,38.69403148880105,3.355635166168213,0.5371,0.0874,0.6245,True
3282,78.41189999999995,35.26969999999999,33.44205519125683,4.2422709465026855,0.5161,0.092,0.6081,True
3216,76.67499999999997,29.98980000000001,32.735148826086956,4.0748889446258545,0.4936,0.1089,0.6025,True
9034,99.40510000000016,35.4036,36.6169316930693,2.869269847869873,0.561,0.1035,0.6645,True
7143,88.05390000000003,34.9332,35.388266145228215,3.295506000518799,0.5255,0.1019,0.6274,True
2446,101.27269999999996,43.318099999999994,34.053169924528305,3.8866376876831055,0.4902,0.092,0.5822,True
5924,53.167899999999946,35.8356,32.938204,3.772861003875733,0.5416,0.1168,0.6584,True
8881,69.19989999999991,35.304399999999994,34.92003987915408,4.296808958053589,0.56,0.1052,0.6652,True
6634,98.5479000000001,43.81240000000001,35.909088185654014,3.742465019226074,0.5132,0.1003,0.6135,True
3097,110.52450000000007,35.8105,33.04853946932006,3.0717668533325195,0.6187,0.1255,0.7442,True
1211,89.04720000000022,37.0097,33.369947063689,3.912414789199829,0.5376,0.0923,0.6299,True
1921,98.2420000000004,38.5762,34.26251819980217,4.154842138290405,0.5188,0.0949,0.6137,True
2740,87.44180000000013,40.7583,38.50685084655823,4.505201101303101,0.5196,0.105,0.6246,True
3306,97.19420000000004,40.3229,34.42481830347054,3.407763957977295,0.5599,0.1042,0.6641,True
4366,75.70070000000001,40.1219,39.638102834862394,4.470116138458252,0.494,0.1028,0.5968,True
5455,134.32430000000005,42.00430000000001,37.35939610344827,4.790802001953125,0.5439,0.1371,0.681,True
9095,104.8285999999999,41.1494,37.01467887432536,3.786919355392456,0.5128,0.0913,0.6041,True
8562,143.9095999999999,35.617399999999996,34.203116736401675,3.9361143112182617,0.5791,0.1317,0.7108,True
9815,75.51120000000004,35.22010000000001,31.63598910669564,3.701503038406372,0.5771,0.1091,0.6862,True
1466,116.07210000000038,39.7744,42.29962126836814,4.035887956619263,0.5119,0.1081,0.62,True
8480,115.07080000000028,40.5245,35.66167908450511,4.290102958679199,0.6152,0.1414,0.7566,True
3792,89.52470000000007,37.7067,35.291998049504954,4.263138055801392,0.5583,0.1176,0.6759,True
4697,65.52610000000001,46.9333,40.79933202277737,3.4094128608703613,0.5631,0.1072,0.6703,True
1565,77.51170000000002,34.99079999999999,36.64321528571429,3.536707878112793,0.5715,0.0952,0.6667,True
5891,123.11919999999996,44.2583,39.33034742190305,3.546699047088623,0.5612,0.1373,0.6985,True
8308,110.85949999999995,40.715399999999995,38.630185147182445,3.562366247177124,0.4979,0.1189,0.6168,True
4257,91.3987999999998,39.7786,40.8881846975089,4.223005294799805,0.5243,0.1081,0.6324,True
5733,68.2379000000001,40.523999999999994,38.21845351798561,3.350788116455078,0.5094,0.1184,0.6278,True
2946,69.07689999999997,35.164,29.46637860538827,3.771419763565063,0.5864,0.1074,0.6938,True
1292,83.2670999999998,41.5037,32.86904246575342,4.109007835388184,0.5439,0.0869,0.6308,True
5439,60.01929999999988,37.07489999999999,36.13069239302695,4.071393966674805,0.5787,0.122,0.7007,True
1714,85.6477000000002,37.4204,31.246893313298266,3.406752109527588,0.5528,0.1069,0.6597,True
9200,95.1359,33.096599999999995,29.30975,3.447361946105957,0.59,0.1278,0.7178,True
5804,119.90080000000007,41.5828,36.95325663767103,4.01584005355835,0.6003,0.1314,0.7317,True
3154,121.08570000000005,38.0401,42.497950618320615,3.2657690048217773,0.5349,0.1245,0.6594,True
2195,109.80220000000008,36.7009,39.94793195008319,3.806978940963745,0.5446,0.1163,0.6609,True
3042,76.10220000000002,37.9158,30.893679544868768,3.963979005813598,0.5759,0.1048,0.6807,True
9808,63.450700000000026,32.935199999999995,32.80222608695653,4.318455219268799,0.5937,0.1361,0.7298,True
5407,133.27690000000015,42.0077,39.90231503957784,3.9487497806549072,0.5333,0.1017,0.635,True
3782,69.33579999999992,37.523700000000005,34.21938363047002,4.0819408893585205,0.525,0.1237,0.6487,True
5410,90.2245,33.9977,38.37252145454545,4.058656215667725,0.5259,0.0999,0.6258,True
8428,77.21560000000015,34.447100000000006,33.601379109452736,3.6803219318389897,0.5447,0.109,0.6537,True
7236,46.30340000000003,37.522000000000006,33.740382277201604,3.697660207748413,0.4802,0.1035,0.5837,True
2085,81.45339999999995,33.40219999999999,30.316205365126677,2.67252779006958,0.6388,0.1253,0.7641,True
2139,113.80400000000007,34.948899999999995,35.43559406349206,3.6599972248077393,0.5156,0.1005,0.6161,True
6801,79.22279999999999,36.15179999999999,32.95240356410257,3.6513750553131104,0.595,0.1085,0.7035,True
6820,86.77020000000009,40.78319999999999,34.75392354223149,4.272958040237427,0.497,0.1118,0.6088,True
3830,106.59279999999995,50.08790000000002,44.65768536585366,3.452763080596924,0.5412,0.1125,0.6537,True
