seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,irt_only,GHEFT,0,0.0,0,0,1,0.1744,0.1906,0.365,,,,,,,,,,,,,,,,,41.43716341463415,1.2722,46,11,310,152,108,44,27.231844,0,ok,logs/seed_741896.log
430515,irt_only,GHEFT,0,0.0,0,0,1,0.1672,0.2045,0.3717,,,,,,,,,,,,,,,,,43.41863067180174,1.0735,47,10,326,157,123,34,26.468917,0,ok,logs/seed_430515.log
888075,irt_only,GHEFT,0,0.0,0,0,1,0.1668,0.1752,0.342,,,,,,,,,,,,,,,,,46.03047837483617,1.1827,54,14,347,179,138,41,25.558486,0,ok,logs/seed_888075.log
914983,irt_only,GHEFT,0,0.0,0,0,1,0.1893,0.2322,0.4215,,,,,,,,,,,,,,,,,40.75890925925927,1.1412,49,12,308,152,115,37,22.418935,0,ok,logs/seed_914983.log
997971,irt_only,GHEFT,0,0.0,0,0,1,0.1684,0.1691,0.3375,,,,,,,,,,,,,,,,,36.05128925294889,1.2147,56,13,336,159,111,48,32.519393,0,ok,logs/seed_997971.log
747642,irt_only,GHEFT,0,0.0,0,0,1,0.1484,0.1543,0.3027,,,,,,,,,,,,,,,,,50.5107851439183,1.142,49,13,327,173,123,50,26.507347,0,ok,logs/seed_747642.log
664527,irt_only,GHEFT,0,0.0,0,0,1,0.1652,0.2325,0.3977,,,,,,,,,,,,,,,,,53.65591877784851,1.3036,47,10,343,141,109,32,34.519953,0,ok,logs/seed_664527.log
760044,irt_only,GHEFT,0,0.0,0,0,1,0.145,0.1663,0.3113,,,,,,,,,,,,,,,,,55.2288486251809,1.0474,46,11,324,160,111,49,26.376701,0,ok,logs/seed_760044.log
215549,irt_only,GHEFT,0,0.0,0,0,1,0.1637,0.2074,0.3711,,,,,,,,,,,,,,,,,44.71070755589821,1.2653,47,12,326,136,103,33,28.110083,0,ok,logs/seed_215549.log
370191,irt_only,GHEFT,0,0.0,0,0,1,0.1559,0.2022,0.3581,,,,,,,,,,,,,,,,,38.86545860368663,1.0975,44,10,318,132,99,33,33.104454,0,ok,logs/seed_370191.log
296947,irt_only,GHEFT,0,0.0,0,0,1,0.1452,0.2077,0.3529,,,,,,,,,,,,,,,,,50.65832797202796,1.1071,49,13,334,160,100,60,37.786979,0,ok,logs/seed_296947.log
963598,irt_only,GHEFT,0,0.0,0,0,1,0.172,0.2095,0.3815,,,,,,,,,,,,,,,,,46.8511840474621,1.2123,55,12,332,169,114,55,31.535825,0,ok,logs/seed_963598.log
388451,irt_only,GHEFT,0,0.0,0,0,1,0.1611,0.1882,0.3493,,,,,,,,,,,,,,,,,51.074264872521255,1.3564,50,10,340,149,109,40,27.752712,0,ok,logs/seed_388451.log
602873,irt_only,GHEFT,0,0.0,0,0,1,0.1519,0.1813,0.3332,,,,,,,,,,,,,,,,,55.82020880420499,1.1288,47,11,321,152,107,45,32.786697,0,ok,logs/seed_602873.log
122745,irt_only,GHEFT,0,0.0,0,0,1,0.1638,0.1714,0.3352,,,,,,,,,,,,,,,,,43.16799136544849,1.2443,57,11,339,150,111,39,34.397099,0,ok,logs/seed_122745.log
484762,irt_only,GHEFT,0,0.0,0,0,1,0.1661,0.2182,0.3843,,,,,,,,,,,,,,,,,40.4266540014959,1.1491,55,12,332,171,123,48,31.852922,0,ok,logs/seed_484762.log
514215,irt_only,GHEFT,0,0.0,0,0,1,0.1765,0.1778,0.3543,,,,,,,,,,,,,,,,,46.1046787878788,1.1687,48,11,324,154,109,45,29.510539,0,ok,logs/seed_514215.log
601161,irt_only,GHEFT,0,0.0,0,0,1,0.1436,0.176,0.3196,,,,,,,,,,,,,,,,,51.20773707440102,1.1415,57,13,339,187,138,49,30.281044,0,ok,logs/seed_601161.log
78435,irt_only,GHEFT,0,0.0,0,0,1,0.1502,0.1656,0.3158,,,,,,,,,,,,,,,,,52.38494547803618,1.1952,51,13,322,185,135,50,27.862195,0,ok,logs/seed_78435.log
480957,irt_only,GHEFT,0,0.0,0,0,1,0.1678,0.1747,0.3425,,,,,,,,,,,,,,,,,39.73810223713647,1.1308,47,11,320,176,135,41,31.382965,0,ok,logs/seed_480957.log
