multiple_sfc_num,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,p_value,wilcoxon_p,n_runs
1,542.9967091836735,31.036150001584353,113.52351183910233,18.60097904174463,79.0633243113002,79.80079597549118,79.29432030517333,98,1.730169571807471e-110,8.33039747348591e-18,98
2,543.163815,30.84765894448767,106.04552382235393,15.003406502359441,80.45340932797878,80.6706588753201,80.60012212686597,100,1.3655918121642053e-116,3.89655984509591e-18,100
4,543.3126719999999,30.939434893659726,101.7065660349568,14.54033538421837,81.2688025428718,81.36807259536022,81.42391660088495,100,2.4049176756711707e-118,3.89655984509591e-18,100
8,543.253118,30.738066086247226,97.54402853142328,14.01511201290717,82.02933626060698,82.10733641618677,82.09001906394067,100,2.259261604415153e-118,3.89655984509591e-18,100
