repo_bw,seed,HEFT,DHEFT,NHEFT,time_sec
100,6347,20737.757600000034,903.8575000000003,119.80306095354844,2.802093982696533
100,7536,18436.0663,805.0731000000002,115.27780339999997,3.317620038986206
100,4078,19097.87500000003,833.2451000000001,98.30520100000003,2.7833330631256104
100,4726,20714.121599999944,907.8535999999997,129.70250100000004,3.0554981231689453
100,5978,22508.71370000003,897.3910000000004,104.3274380866666,3.8746471405029297
100,8836,21318.733100000005,949.6718000000002,100.08890099999999,4.18739914894104
100,3380,21151.89050000003,927.0745000000001,115.17950400000001,3.8193531036376953
100,3669,18609.668199999982,866.7624000000004,115.12310099999998,2.8355801105499268
100,7882,20549.858800000038,889.9260999999999,113.89820200000003,3.1585190296173096
100,2503,19154.424700000036,836.2003000000001,130.82718300000002,2.3299801349639893
100,5802,20569.14179999999,907.7615999999997,111.74324703311255,3.062631845474243
100,6455,19622.585600000002,886.8528999999995,109.08715142000001,3.5966930389404297
100,5608,21574.641499999998,942.6744000000002,122.03229611999997,3.247110366821289
100,8258,20480.291899999993,870.9655,139.79270200000005,3.317357063293457
100,7486,19560.34640000001,880.6716000000002,109.57177064833753,3.1053340435028076
100,1839,19861.53580000001,863.2284,88.34400844537655,3.040019989013672
100,3282,20094.9131,838.9139999999996,94.33100209,3.532771110534668
100,3216,19179.474800000004,855.5496999999997,110.15240099999998,3.4050869941711426
100,9034,18066.123599999963,818.0876999999996,108.11253276923077,2.453965902328491
100,7143,17825.991799999967,790.5864000000001,96.64870099999999,2.8190910816192627
100,2446,20152.001499999988,900.3996000000009,103.2023463849,3.010667085647583
100,5924,19737.37310000002,858.9259999999998,116.79260299999996,3.4408822059631348
100,8881,18844.95879999999,776.4301000000004,89.24483494614901,3.701902151107788
100,6634,18147.003099999973,776.7036999999998,105.37178308108108,3.3373377323150635
100,3097,19008.883299999998,808.8228000000004,118.33743814759998,2.833724021911621
100,1211,16842.704799999996,750.9822999999998,85.58214493143095,3.5437731742858887
100,1921,20458.320899999966,856.3489000000001,103.55477345000003,3.933964967727661
100,2740,20531.157499999998,886.6515999999997,100.28844646999997,4.8202290534973145
100,3306,19384.69250000002,852.4885000000002,103.42310200000001,3.7224910259246826
100,4366,20701.400699999973,854.5928000000002,97.01560100000003,4.542354106903076
100,5455,22354.794699999977,931.2030000000004,134.11290100000002,4.570621967315674
100,9095,19188.816699999992,812.5794000000005,98.92790099999999,3.982125997543335
100,8562,21381.530700000054,947.9183000000002,113.79152496618138,3.777677059173584
100,9815,16912.48149999998,766.1387000000002,97.95020635999997,3.657918930053711
100,1466,21007.049000000025,896.7783,104.77240100000003,4.206337928771973
100,8480,21422.424000000014,868.1656999999996,125.44370099999996,4.530087947845459
100,3792,21096.519499999955,932.2871000000002,95.91787837999998,4.742865800857544
100,4697,18613.284200000002,826.5638999999999,98.93034324513617,4.102957725524902
100,1565,19021.904800000015,870.6081000000003,105.56315549999998,5.418395042419434
100,5891,21568.63390000001,927.6127,144.70882202145683,4.922327041625977
100,8308,19573.358500000053,850.4378000000002,133.85160199999999,5.364739179611206
100,4257,20714.188799999974,886.8181999999999,112.71776743999997,7.0228400230407715
100,5733,18571.183000000005,831.6412999999993,120.331801,6.055423974990845
100,2946,20267.708700000036,874.9711999999996,82.71082399999995,5.458546876907349
100,1292,18482.694999999978,834.1082000000002,74.30262615949998,6.216099977493286
100,5439,19062.388800000008,865.6395,119.0662123170732,7.225744247436523
100,1714,17089.544000000038,777.1837,91.88440399999995,7.0901219844818115
100,9200,18382.657699999956,837.0400000000001,116.21590099999997,5.918647050857544
100,5804,19931.000999999946,872.7682999999996,118.08794710324989,6.8963000774383545
100,3154,17851.38109999995,777.6857000000003,134.629202,5.3991100788116455
100,2195,18599.469800000006,826.0161999999997,112.65621451903007,6.0215208530426025
100,3042,21675.415699999943,958.5381,92.08930631654674,7.170295000076294
100,9808,19959.45679999998,824.3350000000003,121.99745005999996,8.039330005645752
100,5407,19340.34869999997,812.8881000000008,95.61200099999996,5.998821973800659
100,3782,21135.90240000001,917.1489999999998,109.167126,7.201941967010498
100,5410,17477.31740000003,777.8501000000001,96.97513699999998,6.749505996704102
100,8428,20202.429700000004,898.3580000000005,118.97740504231837,6.643068075180054
100,7236,20850.11779999998,913.0789000000002,99.68920200000002,5.527307033538818
100,2085,16842.87039999999,830.3241000000002,107.64680362999997,4.952818870544434
100,2139,18081.58560000004,853.8257,96.08030100000003,5.8958420753479
100,6801,18840.6452,811.6028999999997,108.28520099999999,7.511429071426392
100,6820,20636.520000000026,914.1674,113.96030499999999,7.555736064910889
100,3830,22673.91940000003,954.1862999999998,107.98813503141359,5.728698015213013
100,7975,19459.922799999964,866.6708999999998,77.61190386999999,5.499566078186035
100,3469,21193.593200000003,919.7897,92.23274926912364,6.76553201675415
100,1454,17613.86449999997,789.2749000000002,91.50281084931504,6.914507150650024
100,2573,18291.215499999995,807.1790999999997,74.93079413188386,5.255078077316284
100,3931,19525.216999999997,922.0926000000002,93.19820600000001,6.321928977966309
100,5445,19717.853099999993,831.0908,102.23480271,5.7258148193359375
100,5745,18543.958200000015,828.0188000000004,125.74274869000003,7.006192922592163
100,7167,21101.18899999988,875.0832,133.16973172640002,9.246561050415039
100,7597,21438.01450000001,910.4747999999994,103.82195209964146,9.09848403930664
