seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,0.341,0.3675,0.7085,433.9662999999994,13.3241,4,2,43,442,442,0,58.75500000000002,1.804,40,9,291,110,42,68,50.75982032520325,1.5585,57,12,329,176,110,66,18.871109,0,ok,logs/seed_741896.log
741896,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.341,0.3675,0.7085,433.9662999999994,13.3241,4,2,43,442,442,0,58.75500000000002,1.804,40,9,291,110,42,68,1849.2512121951193,56.7777,1,1,22,25,25,0,18.871109,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,0.3259,0.389,0.7149,200.85479999999933,4.9661,7,3,107,468,468,0,53.8694,1.3319,44,10,307,122,53,69,46.47618817948719,1.1491,54,11,333,158,114,44,22.343504,0,ok,logs/seed_430515.log
430515,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.3259,0.389,0.7149,200.85479999999933,4.9661,7,3,107,468,468,0,53.8694,1.3319,44,10,307,122,53,69,1046.9444282051288,25.8858,1,1,22,23,23,0,22.343504,0,ok,logs/seed_430515.log
