family_key,family_title,family_short,exp_dir,scenario,bucket_label,constraint,total_runs,algo_valid_runs,qualified_runs,qualified_rate,HEFT_mean,DHEFT_mean,NHEFT_mean,DHEFT_used_vcpu_mean,NHEFT_used_vcpu_mean,gain_N_over_D_mean,gain_N_over_D_median,win_rate_N_over_D,ttest_p,wilcoxon_p,aggregate_dir_rel,aggregate_summary_rel,latest_run_rel,summary_csv_rel,bucket_sort_key
e4x,CCR_data < IDR_image,CCR < IDR,e43,b43,"(0.32, 0.56]","CCR < IDR, rel gap >= 20%",500,500,207,0.414,187.3032188405797,47.16635362318841,44.91182074837484,44.60386473429951,58.507246376811594,4.63778630319159,4.046423537478708,0.7777777777777778,6.483276630874964e-16,1.3158249004665369e-17,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e43/run_20260609_195115_151_500,experiments/e43/run_20260609_195115_151_500/grid_e43_summary.csv,2
e4x,CCR_data < IDR_image,CCR < IDR,e44,b44,"(0.56, 1.00]","CCR < IDR, rel gap >= 20%",500,500,171,0.342,267.64236023391817,56.91463684210527,50.82945222797921,44.719298245614034,55.01169590643275,10.410034211384048,10.119504877097176,0.8888888888888888,1.2633436464101526e-35,1.767949837202203e-26,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e44/run_20260609_195124_151_500,experiments/e44/run_20260609_195124_151_500/grid_e44_summary.csv,3
e4x,CCR_data < IDR_image,CCR < IDR,e45,b45,"(1.00, 1.78]","CCR < IDR, rel gap >= 20%",500,500,412,0.824,443.8862082524272,74.45920218446602,56.93101475250644,42.17718446601942,48.189320388349515,23.397019260987214,24.672783473874677,0.9902912621359224,1.7038978135253678e-194,3.6658050803382897e-69,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e45/run_20260609_195131_151_500,experiments/e45/run_20260609_195131_151_500/grid_e45_summary.csv,4
e4x,CCR_data < IDR_image,CCR < IDR,e46,b46,"(1.78, 3.16]","CCR < IDR, rel gap >= 20%",500,500,203,0.406,681.0137285714286,102.10190591133004,69.3876691772691,35.10344827586207,44.32512315270936,31.77085899979332,32.801843881820766,1.0,2.19687408600605e-121,4.6283970742660726e-35,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e46/run_20260609_195141_151_500,experiments/e46/run_20260609_195141_151_500/grid_e46_summary.csv,5
e4x,CCR_data < IDR_image,CCR < IDR,e47,b47,"(3.16, 5.62]","CCR < IDR, rel gap >= 20%",500,500,217,0.434,1183.5769428571427,151.19386820276495,96.4079863910526,28.48847926267281,40.16589861751152,35.749759361793224,36.62531493821912,1.0,2.0715284531144805e-127,2.3501832491431247e-37,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e47/run_20260609_195151_151_500,experiments/e47/run_20260609_195151_151_500/grid_e47_summary.csv,6
e4x,CCR_data < IDR_image,CCR < IDR,e48,b48,"(5.62, 10.00]","CCR < IDR, rel gap >= 20%",500,500,264,0.528,2107.786416666667,236.8774287878788,149.25803994953944,23.64393939393939,36.61363636363637,36.27317272718549,37.08845168796421,0.9962121212121212,3.2196518826456217e-141,4.836211879254143e-45,e41_e48/20260610_001902,e41_e48/20260610_001902/e4x_latest_summary.csv,experiments/e48/run_20260609_195202_151_500,experiments/e48/run_20260609_195202_151_500/grid_e48_summary.csv,7
e5x,CCR_data > IDR_image,CCR > IDR,e51,b51,"(0.10, 0.18]","CCR > IDR, rel gap >= 20%",500,500,458,0.916,62.53267467248907,41.32417991266375,41.296645422904795,42.10262008733624,55.05021834061135,0.0509873599093189,-7.89230541839972e-06,0.4890829694323144,0.6141560344347677,0.5008629944103453,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e51/run_20260609_200845_151_500,experiments/e51/run_20260609_200845_151_500/grid_e51_summary.csv,0
e5x,CCR_data > IDR_image,CCR > IDR,e52,b52,"(0.18, 0.32]","CCR > IDR, rel gap >= 20%",500,500,389,0.778,84.3380383033419,41.89182699228792,41.9555728586121,42.16966580976864,56.38817480719794,-0.17616059799724,-5.4891697038060335e-05,0.4730077120822622,0.4816358432259532,0.4704789159871324,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e52/run_20260609_200913_151_500,experiments/e52/run_20260609_200913_151_500/grid_e52_summary.csv,1
e5x,CCR_data > IDR_image,CCR > IDR,e53,b53,"(0.32, 0.56]","CCR > IDR, rel gap >= 20%",500,500,460,0.92,140.51311586956524,45.39717608695653,44.978524111091566,43.13478260869565,57.53260869565217,0.8278127304236289,0.7529456719934047,0.5847826086956521,0.0013085460808077,6.0203436880275906e-05,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e53/run_20260609_200926_151_500,experiments/e53/run_20260609_200926_151_500/grid_e53_summary.csv,2
e5x,CCR_data > IDR_image,CCR > IDR,e54,b54,"(0.56, 1.00]","CCR > IDR, rel gap >= 20%",500,500,492,0.984,223.31134654471543,54.65435142276423,50.64962021033945,42.57113821138211,56.20121951219512,7.004835812647201,7.346318158445383,0.7845528455284553,9.26312298976212e-51,1.99114090946633e-45,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e54/run_20260609_200945_151_500,experiments/e54/run_20260609_200945_151_500/grid_e54_summary.csv,3
e5x,CCR_data > IDR_image,CCR > IDR,e55,b55,"(1.00, 1.78]","CCR > IDR, rel gap >= 20%",500,500,474,0.948,341.3217322784811,71.06651835443037,58.26597606322583,39.40084388185654,49.99789029535865,17.549461388817893,17.868382216066433,0.959915611814346,6.365592803760961e-145,5.757659264581052e-77,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e55/run_20260609_201031_151_500,experiments/e55/run_20260609_201031_151_500/grid_e55_summary.csv,4
e5x,CCR_data > IDR_image,CCR > IDR,e56,b56,"(1.78, 3.16]","CCR > IDR, rel gap >= 20%",500,500,488,0.976,521.1476737704918,94.37721393442624,70.66858201777549,33.165983606557376,44.80737704918032,24.539359717020204,25.45253510094521,0.9918032786885246,3.2034642931627304e-195,2.1850143379025324e-81,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e56/run_20260609_201045_151_500,experiments/e56/run_20260609_201045_151_500/grid_e56_summary.csv,5
e5x,CCR_data > IDR_image,CCR > IDR,e57,b57,"(3.16, 5.62]","CCR > IDR, rel gap >= 20%",500,500,487,0.974,868.0977476386036,133.42726324435316,95.29992199950983,27.29158110882957,40.776180698151954,27.895435171767407,28.756371011046696,0.9938398357289528,1.577779965291753e-209,2.215205357196268e-81,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e57/run_20260609_201108_151_500,experiments/e57/run_20260609_201108_151_500/grid_e57_summary.csv,6
e5x,CCR_data > IDR_image,CCR > IDR,e58,b58,"(5.62, 10.00]","CCR > IDR, rel gap >= 20%",500,500,471,0.942,1538.6138656050955,199.13863014861997,144.81483029609805,22.248407643312103,36.6411889596603,26.348838619730184,27.721083443929047,0.9830148619957536,8.367676722759653e-173,3.402614837613003e-78,e51_e58/20260610_001909,e51_e58/20260610_001909/e5x_latest_summary.csv,experiments/e58/run_20260609_201124_151_500,experiments/e58/run_20260609_201124_151_500/grid_e58_summary.csv,7
