seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,0.1009,0.0953,0.1962,113.17589999999988,3.4749,9,3,118,442,442,0,36.082600000000006,1.1078,44,10,311,110,36,74,33.38681246612467,1.0251,55,12,328,158,118,40,4.368102,0,ok,logs/seed_741896.log
741896,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.1009,0.0953,0.1962,113.17589999999988,3.4749,9,3,118,442,442,0,36.082600000000006,1.1078,44,10,311,110,36,74,1848.7024317073146,56.7609,1,1,22,26,26,0,4.368102,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,0.0967,0.1023,0.199,79.06090000000017,1.9548,17,4,196,468,468,0,42.989799999999995,1.0629,37,8,324,113,41,72,42.98980843938379,1.0629,52,10,323,168,144,24,4.074952,0,ok,logs/seed_430515.log
430515,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.0967,0.1023,0.199,79.06090000000017,1.9548,17,4,196,468,468,0,42.989799999999995,1.0629,37,8,324,113,41,72,1046.2328897435905,25.8682,1,1,22,26,26,0,4.074952,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,0.0965,0.0875,0.184,97.53930000000007,2.5061,21,6,189,471,471,0,41.59380000000001,1.0687,43,11,340,136,40,96,41.054334333333344,1.0548,61,13,336,177,137,40,4.521119,0,ok,logs/seed_888075.log
888075,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.0965,0.0875,0.184,97.53930000000007,2.5061,21,6,189,471,471,0,41.59380000000001,1.0687,43,11,340,136,40,96,1211.0251391874192,31.1154,1,1,22,29,29,0,4.521119,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,0.1095,0.1161,0.2256,96.51330000000007,2.7022,12,3,150,446,446,0,39.0699,1.0939,41,9,315,128,37,91,36.91519039548024,1.0335,58,12,318,167,126,41,4.03518,0,ok,logs/seed_914983.log
914983,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.1095,0.1161,0.2256,96.51330000000007,2.7022,12,3,150,446,446,0,39.0699,1.0939,41,9,315,128,37,91,846.2501237258348,23.6931,1,1,22,27,27,0,4.03518,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,0.0974,0.0846,0.182,103.4246999999999,3.4761,11,3,130,478,478,0,35.294900000000005,1.1863,43,10,329,120,42,78,34.48227198689384,1.159,59,12,343,173,139,34,5.00874,0,ok,logs/seed_997971.log
997971,drt_only,NHEFT+DRT,0,0.0,0,1,0,0.0974,0.0846,0.182,103.4246999999999,3.4761,11,3,130,478,478,0,35.294900000000005,1.1863,43,10,329,120,42,78,1125.9694393184798,37.8439,1,1,22,24,24,0,5.00874,0,ok,logs/seed_997971.log
