seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,CCR_IDR_rel_gap_pct,b42_match
7711,135.07460000000006,36.0761,35.61459649737303,8.25254201889038,0.096,0.127,0.223,0.031,27.802690582959638,True
4352,134.1230999999998,47.1359,48.21294416727805,8.966968774795532,0.0901,0.135,0.2251,0.04490000000000001,39.893380719680145,True
6768,93.67130000000007,40.703199999999995,40.70316365914787,9.334527015686035,0.0897,0.1067,0.1964,0.017,17.311608961303463,False
5624,83.35230000000013,46.21410000000001,48.17895166908563,8.497853994369507,0.0823,0.0989,0.1812,0.016600000000000004,18.322295805739518,False
7053,95.2841,49.18939999999999,49.46686729264475,11.708019971847534,0.0915,0.1253,0.2168,0.0338,31.18081180811808,True
2902,128.9530999999996,46.1116,45.274108239700375,10.38758111000061,0.0895,0.1022,0.1917,0.012700000000000003,13.249869587897761,False
8558,144.02039999999985,40.2895,37.731138961511945,9.005568027496338,0.0858,0.1149,0.2007,0.0291,28.99850523168909,True
9018,65.39089999999993,42.596,39.48159635974305,10.971045017242432,0.0892,0.0904,0.1796,0.0011999999999999927,1.336302895322932,False
2209,118.28640000000004,44.0676,46.02782150537635,8.998732089996338,0.0916,0.0948,0.1864,0.0031999999999999945,3.4334763948497793,False
8499,111.37749999999971,39.870300000000015,38.441348820343464,8.760702848434448,0.0887,0.123,0.2117,0.0343,32.40434577231932,True
2754,95.0201999999998,45.799499999999995,45.79952802741812,11.433594226837158,0.0888,0.1236,0.2124,0.0348,32.7683615819209,True
7593,74.9061,36.9964,33.74616578789694,12.939563035964966,0.0872,0.104,0.1912,0.016799999999999995,17.573221757322173,False
5719,162.24670000000015,36.3053,32.50178628428093,11.797650814056396,0.0937,0.1401,0.2338,0.0464,39.69204448246364,True
4004,83.03340000000009,38.8953,37.4838564102564,8.371201992034912,0.0942,0.1326,0.2268,0.03839999999999999,33.86243386243385,True
7005,121.49909999999996,40.0862,40.19705126705653,10.43596887588501,0.0955,0.137,0.2325,0.04150000000000001,35.6989247311828,True
2971,124.3748999999999,41.6461,41.5098932972241,8.528607845306396,0.0857,0.1056,0.1913,0.0199,20.80501829587036,True
3183,74.23159999999999,38.22540000000001,38.22539593314568,10.307921171188354,0.0842,0.098,0.1822,0.013800000000000007,15.14818880351263,False
3521,154.67799999999994,46.108700000000006,43.58415354502741,9.229755878448486,0.0821,0.1064,0.1885,0.02429999999999999,25.782493368700255,True
5990,92.09519999999996,50.924200000000006,50.92418987341773,8.503223180770874,0.0779,0.0759,0.1538,0.0020000000000000018,2.6007802340702235,False
3883,128.61469999999997,40.775,40.35341125158027,11.65023422241211,0.0917,0.1289,0.2206,0.03719999999999998,33.72620126926563,True
3873,110.26060000000024,52.55689999999999,52.55689739049394,11.798118114471436,0.0751,0.1056,0.1807,0.0305,33.757609297177645,True
3938,88.38089999999995,48.5576,49.970931088082914,11.667675256729126,0.0985,0.1185,0.217,0.01999999999999999,18.433179723502295,False
6540,103.54849999999996,41.8489,41.56099193884642,7.879015207290649,0.0977,0.1207,0.2184,0.023000000000000007,21.06227106227107,True
7861,110.85350000000015,38.470099999999995,36.907500000000006,9.964370012283323,0.0961,0.1109,0.207,0.014799999999999994,14.299516908212553,False
2013,117.3153999999998,39.6567,38.76038403361345,7.050525188446045,0.0799,0.1054,0.1853,0.025499999999999995,27.52293577981651,True
6546,61.25060000000002,46.20380000000001,46.2038306856755,6.42632794380188,0.0835,0.0943,0.1778,0.01079999999999999,12.14848143982001,False
9518,126.45909999999972,52.71430000000001,52.919788467874795,10.020464897155762,0.0807,0.0945,0.1752,0.013800000000000007,15.753424657534254,False
8276,71.38270000000001,42.15820000000001,42.15816514657981,10.282079935073853,0.0964,0.1195,0.2159,0.023099999999999996,21.398795738767944,True
2681,113.0707000000002,42.21380000000001,44.92282883845126,10.161273717880247,0.0867,0.1008,0.1875,0.014100000000000001,15.040000000000001,False
5708,99.38640000000004,43.651399999999995,43.11843684749232,9.796796083450316,0.0949,0.093,0.1879,0.001899999999999999,2.0223523150612017,False
5943,104.43649999999988,42.809,42.608429835082454,10.652994155883787,0.0867,0.0964,0.1831,0.0097,10.595303113052976,False
3789,141.65520000000004,40.989799999999995,38.51445794392522,8.286890029907227,0.0807,0.1159,0.1966,0.03520000000000001,35.80874872838251,True
9608,112.93989999999997,45.15860000000001,45.158585940246056,10.218986988067629,0.0865,0.1064,0.1929,0.0199,20.63245204769311,True
9283,94.26600000000008,45.71940000000001,46.138798540146,10.78961706161499,0.0926,0.1283,0.2209,0.035699999999999996,32.322317790855585,True
8672,89.81839999999998,38.19099999999999,35.97814551539491,8.693222761154175,0.0836,0.0964,0.18,0.012800000000000006,14.22222222222223,False
4598,127.4823999999998,43.087399999999995,39.59030608474576,8.328341960906982,0.0858,0.1212,0.207,0.0354,34.20289855072463,True
3289,138.8337000000002,42.838799999999985,45.255574276527334,10.378742933273315,0.0981,0.1382,0.2363,0.04009999999999998,33.93990689801099,True
2697,70.82440000000001,36.7508,36.574502752293576,9.112818002700806,0.0941,0.1343,0.2284,0.0402,35.20140105078809,True
6575,100.31379999999976,36.3636,37.38121367419739,11.619139194488524,0.0894,0.0935,0.1829,0.004100000000000006,4.483324220885736,False
9236,114.21910000000004,38.700300000000006,38.38385198039216,11.557966709136965,0.0866,0.1161,0.2027,0.0295,29.107054760730144,True
9431,93.1738,54.2254,54.22543103448276,13.63507080078125,0.0907,0.1004,0.1911,0.0097,10.151753008895867,False
7488,138.97970000000004,38.1316,37.58815957446809,13.471675157546995,0.0792,0.1104,0.1896,0.03119999999999999,32.91139240506328,True
3043,112.28750000000012,41.58249999999999,38.251706553911205,17.963001012802124,0.0966,0.1476,0.2442,0.051000000000000004,41.76904176904176,True
9070,106.04390000000004,37.83529999999999,37.835292037470715,12.10037899017334,0.0924,0.1035,0.1959,0.011099999999999999,11.3323124042879,False
7749,77.84179999999989,43.642500000000005,40.51478760436135,13.340610027313232,0.0999,0.1178,0.2177,0.0179,16.444648598989435,False
4152,118.54850000000006,38.9668,37.233511334552105,14.019973039627075,0.0942,0.1213,0.2155,0.0271,25.150812064965194,True
8098,131.08499999999992,43.2683,42.05202892561983,11.991135835647585,0.092,0.1148,0.2068,0.0228,22.050290135396523,True
4730,161.7102,47.2426,43.18945555555556,10.320549964904783,0.0855,0.1088,0.1943,0.023299999999999987,23.983530622748315,True
2787,102.76260000000016,41.973700000000015,42.08337514792901,9.392004013061523,0.0911,0.0969,0.188,0.0058,6.170212765957447,False
8241,147.6168000000001,41.946,39.410085850556435,9.978015184402466,0.095,0.1295,0.2245,0.0345,30.73496659242762,True
