seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,4.6555,2.9165,7.572,1894.563799999997,58.6669,3,3,30,442,442,0,231.455,7.1672,19,6,160,69,40,29,139.84405140530583,4.3304,42,10,280,158,83,75,5.022383,0,ok,logs/seed_741896.log
741896,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,4.6555,2.9165,7.572,1894.563799999997,58.6669,3,3,30,442,442,0,231.455,7.1672,19,6,160,69,40,29,1744.1761191680193,54.01,1,1,22,20,20,0,5.022383,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,4.4416,3.053,7.4946,1562.573099999995,39.4055,2,2,22,468,468,0,219.8432,5.5441,22,8,156,78,44,34,143.93193933967487,3.6297,38,9,274,146,77,69,6.326536,0,ok,logs/seed_430515.log
430515,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,4.4416,3.053,7.4946,1562.573099999995,39.4055,2,2,22,468,468,0,219.8432,5.5441,22,8,156,78,44,34,990.2152369487181,24.9716,1,1,22,20,20,0,6.326536,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,4.4245,2.7067,7.1312,1269.207,32.9048,4,2,32,471,471,0,188.9834,4.8995,29,8,190,92,51,41,134.21537251786978,3.4796,38,10,301,155,90,65,6.577529,0,ok,logs/seed_888075.log
888075,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,4.4245,2.7067,7.1312,1269.207,32.9048,4,2,32,471,471,0,188.9834,4.8995,29,8,190,92,51,41,1143.3377616867635,29.6416,1,1,22,22,22,0,6.577529,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,5.0402,3.4898,8.53,2070.377100000004,58.2353,3,3,29,446,446,0,237.59820000000005,6.6831,21,8,135,61,41,20,155.8901934841012,4.3849,30,11,243,132,70,62,5.382107,0,ok,logs/seed_914983.log
914983,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,5.0402,3.4898,8.53,2070.377100000004,58.2353,3,3,29,446,446,0,237.59820000000005,6.6831,21,8,135,61,41,20,833.3317761177506,23.4399,1,1,22,20,20,0,5.382107,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,4.4643,2.5661,7.0304,1358.941100000002,46.0755,4,2,24,478,478,0,173.07429999999997,5.8682,23,7,201,75,45,30,135.21538005390386,4.5845,45,11,295,145,78,67,7.159216,0,ok,logs/seed_997971.log
997971,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,4.4643,2.5661,7.0304,1358.941100000002,46.0755,4,2,24,478,478,0,173.07429999999997,5.8682,23,7,201,75,45,30,1087.732940100918,36.8801,1,1,22,20,20,0,7.159216,0,ok,logs/seed_997971.log
