algorithm,rows,seeds,makespan_mean,makespan_std,makespan_median,vcpus_mean,vcpus_std
HEFT,274,274,90.76254489051095,16.84528789673465,90.14419999999996,14.784671532846716,3.590940789336408
DHEFT,274,274,41.19295291970803,4.953367119911984,39.9611,42.10948905109489,4.068423625957108
NHEFT,274,274,40.76987696223119,5.155802904185872,39.741356939397654,55.605839416058394,4.476814775956328
