seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,0.692,0.6439,1.3359,615.1717999999992,18.8877,5,3,43,442,442,0,81.76,2.5103,38,9,263,112,44,68,52.36840085261606,1.6079,55,12,332,167,103,64,4.25351,0,ok,logs/seed_741896.log
741896,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.692,0.6439,1.3359,615.1717999999992,18.8877,5,3,43,442,442,0,81.76,2.5103,38,9,263,112,44,68,1849.8311579945773,56.7956,1,1,22,24,24,0,4.25351,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,0.6608,0.6782,1.339,348.2414999999995,8.6103,5,2,67,468,468,0,69.36470000000001,1.715,43,10,283,118,49,69,56.14075165637759,1.3881,55,11,334,169,112,57,4.612866,0,ok,logs/seed_430515.log
430515,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.6608,0.6782,1.339,348.2414999999995,8.6103,5,2,67,468,468,0,69.36470000000001,1.715,43,10,283,118,49,69,1047.6735948717953,25.9038,1,1,22,23,23,0,4.612866,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,0.6584,0.5961,1.2545,315.0757000000001,8.0954,8,4,89,471,471,0,65.0947,1.6725,46,10,317,140,53,87,58.67054312041598,1.5074,50,12,347,196,139,57,5.900469,0,ok,logs/seed_888075.log
888075,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.6584,0.5961,1.2545,315.0757000000001,8.0954,8,4,89,471,471,0,65.0947,1.6725,46,10,317,140,53,87,1211.544798427262,31.1288,1,1,22,25,25,0,5.900469,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,0.7495,0.774,1.5235,463.21750000000014,12.9691,5,2,46,446,446,0,80.21089999999997,2.2457,37,10,232,104,43,61,62.68776496296296,1.7551,46,11,310,150,104,46,5.565097,0,ok,logs/seed_914983.log
914983,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.7495,0.774,1.5235,463.21750000000014,12.9691,5,2,46,446,446,0,80.21089999999997,2.2457,37,10,232,104,43,61,798.1363582091388,22.3461,1,1,22,23,23,0,5.565097,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,0.6644,0.5677,1.2321,425.1727000000001,14.3258,8,4,65,478,478,0,69.09039999999999,2.3279,43,10,282,118,44,74,49.815547252807846,1.6785,56,13,342,158,97,61,7.096565,0,ok,logs/seed_997971.log
997971,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,0.6644,0.5677,1.2321,425.1727000000001,14.3258,8,4,65,478,478,0,69.09039999999999,2.3279,43,10,282,118,44,74,1125.8301344692006,37.9338,1,1,22,22,22,0,7.096565,0,ok,logs/seed_997971.log
