seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,0.0733,0.0692,0.1425,83.09220000000012,2.5512,13,3,151,442,442,0,34.1973,1.05,44,10,314,119,37,82,32.714215530903324,1.0044,57,11,324,146,106,40,5.708773,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,0.0703,0.0744,0.1447,66.198,1.6345,20,5,220,468,468,0,40.92,1.0104,40,8,326,110,41,69,40.743717816476895,1.006,59,10,339,173,146,27,6.011086,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,0.0701,0.0637,0.1338,73.76020000000008,1.8952,22,5,220,471,471,0,41.03990000000001,1.0545,45,10,353,143,44,99,39.40287962962963,1.0124,55,13,349,187,148,39,6.2781,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,0.0796,0.0844,0.164,80.92440000000009,2.2657,15,4,171,446,446,0,36.6497,1.0261,41,9,313,124,42,82,36.547539983050854,1.0233,50,10,326,161,119,42,6.1205,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,0.0708,0.0615,0.1323,75.97160000000005,2.5534,16,4,193,478,478,0,35.2617,1.1851,43,9,330,122,41,81,35.25649180786054,1.185,59,12,350,173,142,31,7.388887,0,ok,logs/seed_997971.log
747642,baseline,NHEFT,1,0.0,0,0,0,0.0624,0.056,0.1184,67.4021,1.524,23,5,240,466,466,0,44.3039,1.0017,39,9,317,148,35,113,44.303908913649025,1.0017,54,12,332,191,150,41,5.704713,0,ok,logs/seed_747642.log
664527,baseline,NHEFT,1,0.0,0,0,0,0.0695,0.0845,0.154,114.90759999999987,2.7918,11,4,147,485,485,0,44.633500000000005,1.0844,41,7,340,108,47,61,43.87423475959079,1.066,57,12,342,151,129,22,8.31045,0,ok,logs/seed_664527.log
760044,baseline,NHEFT,1,0.0,0,0,0,0.061,0.0605,0.1215,74.65439999999998,1.4158,20,5,233,458,458,0,52.850699999999996,1.0023,38,8,312,108,34,74,52.85073795620438,1.0023,53,11,323,160,119,41,7.522651,0,ok,logs/seed_760044.log
215549,baseline,NHEFT,1,0.0,0,0,0,0.0689,0.0753,0.1442,77.92330000000011,2.2052,16,3,182,465,465,0,37.0056,1.0472,47,9,330,126,51,75,37.62396453353894,1.0647,57,12,346,163,129,34,5.852536,0,ok,logs/seed_215549.log
370191,baseline,NHEFT,1,0.0,0,0,0,0.0656,0.0735,0.1391,92.62830000000004,2.6156,12,3,163,469,469,0,35.604699999999994,1.0054,41,7,324,108,37,71,35.85353420567376,1.0124,55,10,339,135,116,19,7.25826,0,ok,logs/seed_370191.log
