seed,HEFT,DHEFT,NHEFT,time_sec
7711,180.5603999999999,42.4607,43.321333333333335,4.038794040679932
4352,179.27390000000022,49.6494,48.72982727272726,3.3610057830810547
6768,114.05929999999995,44.923700000000004,45.292189258312014,3.9753730297088623
5624,114.23090000000018,49.82029999999999,49.8518974025974,4.000263929367065
7053,116.96600000000008,49.24189999999999,47.45024692556635,5.526965618133545
2902,162.44700000000006,48.376799999999996,48.49817523340471,5.117686033248901
8558,190.5830000000002,48.05949999999999,42.52309696855346,5.489346027374268
9018,71.28019999999998,39.71040000000001,42.74870221413276,5.7419819831848145
2209,137.9742,45.811600000000006,46.64375806451614,5.396074056625366
8499,159.0707000000002,43.8024,39.73610199999999,5.6040027141571045
2754,136.11999999999998,46.9512,46.75877128712871,4.8087828159332275
7593,109.18359999999998,38.1453,38.2862101967213,6.845953941345215
5719,216.05190000000024,40.186,38.87063469397218,10.35531497001648
4004,88.2087000000001,40.21880000000001,40.20830868878357,7.350121974945068
7005,146.33179999999976,45.636700000000005,42.9585074074074,7.375952959060669
2971,161.39900000000003,46.05220000000001,46.744719645120405,7.2538161277771
3183,89.70289999999991,43.92229999999999,40.622647745562126,9.176381826400757
3521,171.1099999999997,48.744599999999984,46.36270416802168,6.3845508098602295
5990,113.54599999999998,50.9963,50.9963417721519,6.367371082305908
3883,109.6257999999999,43.7232,41.38896964560863,8.405273199081421
3873,119.84659999999991,52.618399999999994,52.781502304753026,8.348604917526245
3938,106.44920000000009,48.71360000000001,52.301535887737494,5.390222072601318
6540,106.7842999999999,43.47269999999999,43.47265712300208,5.352713108062744
7861,123.95730000000015,41.60940000000001,42.8954593073593,8.593093156814575
2013,147.0206000000003,43.9542,43.96930017063121,5.771010875701904
6546,73.97829999999996,46.24660000000001,46.89204492419175,5.8008129596710205
9518,168.62570000000005,55.7591,54.139300000000006,7.229453086853027
8276,84.24790000000003,43.11030000000001,42.2050706840391,7.4484779834747314
2681,152.27350000000013,46.32699999999999,45.81320118623962,6.954680919647217
5708,139.06290000000018,48.11309999999999,42.31220760456274,6.992915153503418
5943,138.07909999999993,47.472,43.89393112482066,7.26435923576355
3789,187.97409999999988,44.401599999999995,39.79235420560747,5.213605880737305
9608,134.35050000000018,46.789599999999986,46.617233707865175,8.73728632926941
9283,110.88719999999998,45.7642,46.39257207299271,7.948478937149048
8672,126.02639999999992,41.2192,37.603366068036856,7.232664108276367
4598,168.36109999999968,46.86780000000002,41.88300480993018,5.5186779499053955
3289,184.60890000000003,43.66619999999999,44.7169938853755,7.185563802719116
2697,78.85029999999999,39.236900000000006,37.81786741903828,9.89635705947876
6575,132.99460000000016,39.8136,39.82564816069911,9.394983053207397
9236,117.59720000000007,39.868300000000005,39.14211954331767,9.566236972808838
9431,120.58429999999969,54.2714,54.826184353741496,8.713972091674805
7488,168.83919999999995,44.36559999999999,42.363112765957446,7.195443153381348
3043,120.36829999999996,42.8598,39.77734961904762,7.805669784545898
9070,128.1552999999999,38.3995,38.792037410071934,8.750741958618164
7749,109.51850000000002,47.09859999999999,44.6905241362468,7.528365135192871
4152,160.96129999999982,42.375299999999996,42.01551843192489,7.6486101150512695
8098,160.547,47.671600000000005,43.76227190082644,8.40565013885498
4730,217.45660000000024,57.52199999999999,57.46158337547893,7.576350212097168
2787,116.29620000000011,43.623599999999996,44.187270329670326,8.266930341720581
8241,195.66720000000072,49.53460000000001,42.29830886189569,7.644922971725464
1769,80.95540000000013,46.20280000000002,47.42218235294119,9.87734079360962
8725,127.11630000000012,47.374,49.995065960971374,6.975109815597534
4257,147.5504999999998,44.8442,45.04924963523573,7.014100074768066
4307,155.63790000000003,44.26979999999999,41.850301282051284,6.22698187828064
4495,172.0031000000004,49.894400000000005,45.76920805394191,7.22978401184082
9575,96.15850000000002,40.3149,41.02178148148148,8.411634922027588
1015,172.0243999999998,44.87839999999999,49.42664828660437,7.145110130310059
7265,157.5326999999998,48.9296,48.665968796610166,9.635576725006104
1542,172.3092000000002,44.41519999999999,40.55232777165354,7.460200786590576
8949,96.0499000000001,47.5256,43.29818048780487,7.443731069564819
2083,184.38690000000042,51.262600000000006,50.16466964705883,5.931777000427246
8178,137.76609999999994,51.6371,49.54833740573152,7.0884480476379395
6808,152.85250000000002,41.0328,44.27544850733137,7.313307046890259
6053,162.13970000000015,50.3114,51.9307374806867,6.957205057144165
3147,190.02460000000008,49.3276,46.757466671641794,7.089650869369507
2813,138.8218999999996,41.4491,39.82957822191592,6.669256925582886
9963,128.3102999999998,44.265699999999995,41.860103036876346,6.485443115234375
