repository_bw,multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,6347,6517.111200000003,408.1906999999999,48.19528882655682,36.22152876853943
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,7536,6189.075799999996,391.3262000000001,49.64161378185186,15.175352096557617
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,4078,6318.050099999998,396.5906999999999,47.49421357444445,41.740882873535156
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,4726,6529.9639000000025,409.79039999999975,53.64720199999998,26.53464388847351
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,5978,6528.883300000001,409.7817999999997,51.05283218666668,55.0395929813385
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,8836,6632.7567000000045,416.7745,48.10493614039916,32.379297733306885
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3380,6571.016599999995,413.20470000000034,49.274434333333325,10.434583902359009
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3669,6370.813900000011,403.03780000000006,50.22669158711312,29.628486156463623
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,7882,6466.0029,406.4044,47.961168666666666,46.42446780204773
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,2503,6309.499600000003,397.2777,52.80052144444445,25.359395027160645
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,5802,6563.533699999997,410.4844000000002,46.60836400000001,37.474859952926636
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,6455,6485.685100000005,406.6273000000001,48.475931983102925,9.484038829803467
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,5608,6599.566799999996,415.67440000000016,49.57338933333332,12.486416816711426
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,8258,6427.411300000009,403.08700000000005,53.092497720420816,41.48854088783264
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,7486,6424.579999999987,406.7396,51.88176614555556,75.46655893325806
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,1839,6399.826399999995,401.67690000000005,45.575135863333344,60.72970485687256
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3282,6327.5802,397.2347000000001,45.171573099999996,20.268431663513184
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3216,6391.860900000004,399.94100000000003,51.516568033670374,13.665112972259521
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,9034,6319.763099999991,395.84799999999973,46.982702092970534,7.734165906906128
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,7143,6222.428699999992,389.5545000000001,44.525701000000005,14.813400030136108
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,2446,6514.520899999995,412.19069999999994,42.9145358066667,25.33983302116394
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,5924,6350.970300000002,400.90799999999996,51.068385679768184,11.366070985794067
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,8881,6192.086200000017,386.9158,45.04426766666666,12.311963319778442
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,6634,6164.027200000001,386.5839999999999,49.433467666666694,27.91618013381958
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3097,6256.913499999997,392.47119999999995,50.41324203203716,31.58805203437805
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,1211,6149.854800000002,381.8524999999999,44.80731866666667,22.345786094665527
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,1921,6350.694199999995,401.4408999999999,46.63520200000001,5.519574880599976
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,2740,6518.526299999996,406.1329999999999,49.12434805777777,33.57334303855896
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,3306,6356.54550000001,400.1689000000002,47.62186766666668,9.72422981262207
300,1,320,320,1,20,5000,7000,500,1000,1000,2000,4366,6346.144399999993,402.4839999999995,49.5168851713179,9.79258918762207
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,6347,6517.106200000005,408.4249,49.22470238494815,3.714946985244751
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,7536,6189.072799999999,391.3365,46.623725495769165,3.874425172805786
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,4078,6318.047199999999,396.56460000000004,44.13810246666668,6.273696660995483
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,4726,6529.9716000000035,410.16819999999984,50.58434098802722,4.3714599609375
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,5978,6528.897799999995,409.60010000000005,47.095502999999994,4.533915042877197
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,8836,6632.744600000004,418.0320999999998,46.476154444444454,4.528397083282471
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,3380,6570.998099999992,413.0239000000003,47.93963433333333,4.339332103729248
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,3669,6370.8204000000105,402.47710000000006,43.97687380370371,4.287468910217285
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,7882,6465.995399999997,406.35720000000003,47.26618511333336,4.7667670249938965
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,2503,6309.483100000006,398.9926999999998,48.95796766666667,3.371429920196533
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,5802,6563.525100000004,411.2560000000001,44.957502999999996,4.695832967758179
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,6455,6485.6883000000125,406.03769999999986,47.11344033333334,4.499701023101807
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,5608,6599.563599999998,416.7648999999997,50.38696766666668,5.000595331192017
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,8258,6427.405000000008,403.7788000000001,50.903136202962976,4.439150094985962
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,7486,6424.573299999993,407.8172000000002,47.567321067066395,5.096497058868408
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,1839,6399.802000000001,402.45379999999983,47.19668433333335,4.3893890380859375
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,3282,6327.573200000007,397.2482000000001,44.4835264237705,5.912955045700073
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,3216,6391.847200000006,399.8247,46.85380902592592,4.960783243179321
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,9034,6319.76069999999,395.4171999999997,46.11976966666668,3.4748988151550293
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,7143,6222.42019999999,389.1978000000001,41.47186766666666,4.83209490776062
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,2446,6514.500699999993,409.1875999999998,43.13740099999998,4.19989800453186
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,5924,6350.9933,400.62449999999995,46.791700999999996,3.8399550914764404
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,8881,6192.0727000000115,386.90889999999996,48.349906813092254,6.3712451457977295
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,6634,6164.0379,387.7563000000004,48.493782912222215,4.698704957962036
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,3097,6256.9257000000025,393.6954,49.46220529629631,3.926676034927368
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,1211,6149.8432,382.1992000000001,40.116867666666664,4.010119915008545
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,1921,6350.7098,400.9093,42.04252671333335,4.202506065368652
300,2,160,320,1,20,5000,7000,500,1000,1000,2000,2740,6518.517599999995,406.7234999999999,47.225535333333326,5.506504058837891
