bucket_key,seed,is_complete,completed_variants,missing_variants
e11y,1087,True,"baseline,comp_advantage",
e11y,3899,True,"baseline,comp_advantage",
e11y,4410,True,"baseline,comp_advantage",
e11y,6523,True,"baseline,comp_advantage",
e11y,10602,True,"baseline,comp_advantage",
e11y,15262,True,"baseline,comp_advantage",
e11y,23707,True,"baseline,comp_advantage",
e11y,27243,True,"baseline,comp_advantage",
e11y,28388,True,"baseline,comp_advantage",
e11y,29523,True,"baseline,comp_advantage",
e11y,33347,True,"baseline,comp_advantage",
e11y,47925,True,"baseline,comp_advantage",
e11y,48268,True,"baseline,comp_advantage",
e11y,50264,True,"baseline,comp_advantage",
e11y,53408,True,"baseline,comp_advantage",
e11y,69527,True,"baseline,comp_advantage",
e11y,70730,True,"baseline,comp_advantage",
e11y,72146,True,"baseline,comp_advantage",
e11y,72402,True,"baseline,comp_advantage",
e11y,75919,True,"baseline,comp_advantage",
e11y,79088,True,"baseline,comp_advantage",
e11y,80721,True,"baseline,comp_advantage",
e11y,81222,True,"baseline,comp_advantage",
e11y,81911,True,"baseline,comp_advantage",
e11y,95163,True,"baseline,comp_advantage",
e11y,108225,True,"baseline,comp_advantage",
e11y,108511,True,"baseline,comp_advantage",
e11y,108594,True,"baseline,comp_advantage",
e11y,109654,True,"baseline,comp_advantage",
e11y,110682,True,"baseline,comp_advantage",
e11y,113260,True,"baseline,comp_advantage",
e11y,116436,True,"baseline,comp_advantage",
e11y,117059,True,"baseline,comp_advantage",
e11y,127154,True,"baseline,comp_advantage",
e11y,131782,True,"baseline,comp_advantage",
e11y,137693,True,"baseline,comp_advantage",
e11y,137836,True,"baseline,comp_advantage",
e11y,138451,True,"baseline,comp_advantage",
e11y,140763,True,"baseline,comp_advantage",
e11y,143022,True,"baseline,comp_advantage",
e11y,144274,True,"baseline,comp_advantage",
e11y,145299,True,"baseline,comp_advantage",
e11y,146585,True,"baseline,comp_advantage",
e11y,162375,True,"baseline,comp_advantage",
e11y,174052,True,"baseline,comp_advantage",
e11y,174431,True,"baseline,comp_advantage",
e11y,176967,True,"baseline,comp_advantage",
e11y,178145,True,"baseline,comp_advantage",
e11y,181404,True,"baseline,comp_advantage",
e11y,184906,True,"baseline,comp_advantage",
e11y,189568,True,"baseline,comp_advantage",
