bucket_label,bucket_sort_key,family_count,HEFT_mean,DHEFT_mean,NHEFT_mean,DHEFT_used_vcpu_mean,NHEFT_used_vcpu_mean,gain_N_over_D_mean,gain_N_over_D_median,win_rate_N_over_D,qualified_runs_mean,qualified_runs_sum
"(0.10, 0.18]",0,3,77.22602671851588,41.46610847897705,41.33282316129751,41.89608856391062,55.35510941024042,0.34014139177478614,4.24273258556978e-05,0.5460557395055211,403.6666666666667,1211
"(0.18, 0.32]",1,3,102.70935409139933,42.132623906354624,41.823849729093276,42.406798135739514,56.87046628363793,0.7497608715229745,0.154062160133656,0.5628453150778154,331.0,993
"(0.32, 0.56]",2,3,165.15440133114046,46.25068976686288,44.88055793533194,43.86282556484367,58.00532142916027,2.85532703872067,2.5597908112419128,0.6965076146037713,320.0,960
"(0.56, 1.00]",3,3,249.83128956113185,55.83269804189178,50.50783864770508,43.68289273841264,55.58623432147181,9.23077642692607,8.987446141421147,0.861843215501752,312.0,936
"(1.00, 1.78]",4,3,395.97178828199225,72.91383275954081,57.296576541894034,40.889023147922124,49.28500630096209,21.07206161235665,21.783028522991575,0.976552976248263,392.6666666666667,1178
"(1.78, 3.16]",5,3,611.1132621416551,98.63485528883916,69.58581669343116,34.51310935873036,44.50898795656991,28.97710076500579,29.766631510337376,0.9961143570253559,326.6666666666667,980
"(3.16, 5.62]",6,3,1041.202946658905,143.30832443854342,94.944268982542,28.121611819335858,40.468582378577565,33.0360679105744,33.88420725037026,0.9979466119096511,331.0,993
"(5.62, 10.00]",7,3,1853.330918922802,221.00381103252423,145.50057635208495,23.14644230100777,36.773979805752134,33.062904764203076,34.03123124506947,0.9930756610692916,344.3333333333333,1033
