vnf_image_size_min,vnf_image_size_max,seed,HEFT,DHEFT,NHEFT,time_sec
1000,3000,6347,8086.5548000000135,354.9211000000001,61.073801999999986,3.189297914505005
1000,3000,7536,7068.360000000018,310.47059999999993,54.53733433333335,3.531661033630371
1000,3000,4078,7351.860800000015,323.8382999999999,42.12448405709877,2.9704227447509766
1000,3000,4726,8087.8449,356.3267000000001,63.400318650702665,3.2348427772521973
1000,3000,5978,8766.907899999995,352.6154000000002,53.250482016666666,4.495365142822266
1000,3000,8836,8352.7673,374.68650000000014,49.924579683333334,3.869562864303589
1000,3000,3380,8270.442099999987,364.52169999999995,53.336701,4.050385236740112
1000,3000,3669,7200.8615999999965,338.3719,50.465009245614056,3.384617805480957
1000,3000,7882,7990.718999999989,348.2595,55.060830227053145,4.237567901611328
1000,3000,2503,7385.81279999999,324.2767999999999,66.64853915357874,3.0620920658111572
1000,3000,5802,8032.574100000001,356.11190000000016,57.14454430867449,3.8032171726226807
1000,3000,6455,7621.8496999999925,347.55289999999997,47.54421825,4.107077121734619
1000,3000,5608,8451.633800000023,375.61750000000006,61.80358095238096,3.971705198287964
1000,3000,8258,7951.820599999996,340.2688999999997,71.54544964864868,4.568039178848267
1000,3000,7486,7592.397400000004,344.87499999999983,50.37915948888889,4.201139211654663
1000,3000,1839,7691.538500000007,336.2329,44.12839916944444,3.8592419624328613
1000,3000,3282,7767.106899999999,325.17390000000006,39.97460881927712,5.415456056594849
1000,3000,3216,7434.1355,333.3979999999999,56.14391945145834,5.343402862548828
1000,3000,9034,6965.361299999987,318.14770000000016,52.07139188888888,4.4228339195251465
1000,3000,7143,6839.632999999983,306.61729999999994,45.43095949056602,5.247499942779541
1000,3000,2446,7847.964199999993,353.3167,44.41110200000001,5.784635066986084
1000,3000,5924,7637.062000000006,336.17580000000004,51.858584890313395,5.382000923156738
1000,3000,8881,7206.104400000005,298.6511999999996,45.34305084833118,6.772728681564331
1000,3000,6634,6928.6655,299.68030000000005,53.006640448948964,6.194662809371948
1000,3000,3097,7304.208199999994,312.4879,59.26265987037036,5.058614015579224
1000,3000,1211,6430.758600000012,286.449,39.75363021281216,7.222941160202026
1000,3000,1921,7907.088199999989,334.7367,50.919837609637966,8.615732908248901
1000,3000,2740,7996.369700000002,346.1885,49.29520282815735,8.694015979766846
1000,3000,3306,7499.517399999991,331.98580000000027,46.90523533333334,6.470515966415405
1000,3000,4366,8002.262400000021,334.09839999999946,53.44927681481482,7.3121559619903564
1000,3000,5455,8725.999100000003,366.08250000000027,67.96970099999999,7.808953046798706
1000,3000,9095,7381.063699999972,314.5739999999999,42.31214033333333,6.888759136199951
1000,3000,8562,8384.9624,375.04830000000015,58.820217666666665,6.862087965011597
1000,3000,9815,6439.858699999989,294.6267999999997,45.682796774193555,6.718847990036011
1000,3000,1466,8208.946000000004,351.56989999999985,49.72012116666666,7.4482879638671875
