vnf_image_size_min,vnf_image_size_max,image_mean,image_label,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,p_value,wilcoxon_p,n_runs
1000,3000,2000.0,1000-3000,337.58105599999993,21.838213484953577,53.252558024409446,8.65261402409518,84.19726016674439,84.605522413736,84.36038247898333,100,6.692724408265752e-113,3.89655984509591e-18,100
3000,5000,4000.0,3000-5000,671.259081,21.857919255966284,89.94872062746025,12.73861931150367,86.59311929494517,87.12943667630415,86.77596086805312,100,4.497392416293401e-139,3.89655984509591e-18,100
5000,7000,6000.0,5000-7000,1004.6276090000001,21.848888844419037,126.49158921197002,17.624520141112566,87.40465804872258,87.91467498702573,87.64628327714126,100,7.312470151182699e-151,3.89655984509591e-18,100
7000,9000,8000.0,7000-9000,1337.9601089999996,21.849340816735797,163.01374859818398,22.916687848884802,87.81277284430226,88.38380121757524,88.07115107679078,100,3.426825153457611e-157,3.89655984509591e-18,100
