variant,variant_order,display_label,paired_rows,paired_seeds,configured_tolerance_mean,configured_comp_advantage_mean,nheft_makespan_mean,nheft_makespan_std,nheft_makespan_median,nheft_vcpus_mean,nheft_vcpus_std,nheft_hosts_mean,makespan_change_vs_base_pct_mean,makespan_change_vs_base_pct_median,vcpu_delta_vs_base_mean,vcpu_reduction_vs_base_pct_mean,gain_nheft_over_dheft_pct_mean,win_rate_over_dheft_pct,makespan_not_worse_than_base_rate_pct,vcpu_not_more_than_base_rate_pct,vcpu_strictly_reduced_rate_pct
baseline,0,NHEFT,475,475,0.0,0.0,41.143516988705606,4.843665822570672,40.25926658476658,54.92631578947368,4.33813942808838,11.416842105263157,0.0,0.0,0.0,0.0,0.23981619339475937,50.73684210526316,100.0,100.0,0.0
comp_advantage,1,NHEFT+CompGate,475,475,0.0,1.0,65.19607140174142,105.72383162029517,42.49145985558584,38.59578947368421,14.49970111571396,8.330526315789474,58.809368676895595,0.8283581414344481,-16.330526315789474,29.642803466049234,-58.43569131933566,29.47368421052631,38.526315789473685,98.94736842105263,96.84210526315789
