seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,CCR_IDR_rel_gap_pct,b52_match
7711,99.87440000000002,35.505700000000004,35.036248404844294,10.708769083023071,0.1268,0.0932,0.22,0.03359999999999999,30.545454545454536,True
4352,107.2362000000002,45.6325,48.12990909090908,8.298700094223022,0.119,0.099,0.218,0.01999999999999999,18.348623853211,False
6768,73.57179999999994,40.6539,40.653873767752714,12.34936022758484,0.1185,0.0783,0.1968,0.0402,40.85365853658537,True
5624,64.12729999999999,45.227500000000006,45.14557642276422,11.623042106628418,0.1087,0.0725,0.1812,0.03620000000000001,39.95584988962474,True
7053,74.65319999999996,49.61059999999999,46.79374045307445,17.7965350151062,0.1209,0.0919,0.2128,0.028999999999999998,27.25563909774436,True
2902,102.45109999999988,45.4607,45.50015507246378,18.57540392875671,0.1182,0.0749,0.1931,0.043300000000000005,44.84722941481098,True
8558,111.0609999999998,40.6522,39.77452335216573,16.033602952957153,0.1133,0.0842,0.1975,0.0291,29.468354430379744,True
9018,52.58659999999998,40.0977,40.840047683083505,15.028522968292236,0.1178,0.0663,0.1841,0.051500000000000004,55.94785442694189,True
2209,87.58410000000005,44.078399999999995,45.97136989247313,12.638303756713867,0.121,0.0696,0.1906,0.0514,53.934942287513124,True
8499,102.08599999999991,39.2553,37.68737572527473,15.279205083847046,0.1171,0.0902,0.2073,0.026899999999999993,25.952725518572112,True
2754,77.5897999999999,40.9265,41.492761462300074,17.391353130340576,0.1172,0.0906,0.2078,0.0266,25.601539942252167,True
7593,52.696,37.215299999999985,36.68900163934427,30.934887170791622,0.1151,0.0762,0.1913,0.03889999999999999,40.669106116048084,True
5719,119.28699999999994,35.39800000000001,38.5876856187291,22.52321481704712,0.1238,0.1027,0.2265,0.021099999999999994,18.631346578366443,False
4004,71.99490000000017,38.8357,39.450031911532385,17.91190004348755,0.1244,0.0972,0.2216,0.027200000000000002,24.548736462093864,True
7005,96.8261,39.9261,37.490634979423874,15.929507970809937,0.1261,0.1006,0.2267,0.025499999999999995,22.496691662990735,True
2971,95.72330000000002,43.2484,41.87414756995582,23.299755096435547,0.1132,0.0775,0.1907,0.035699999999999996,37.44100681699003,True
3183,59.53449999999999,39.3351,40.08013333333333,19.0561261177063,0.1112,0.0718,0.183,0.03939999999999999,43.06010928961748,True
3521,119.60410000000026,44.2835,46.285723693379786,15.409515142440796,0.1084,0.0781,0.1865,0.030299999999999994,32.49329758713136,True
5990,72.76200000000004,50.8672,50.86722784810127,16.278182983398438,0.1029,0.0556,0.1585,0.04730000000000001,59.6845425867508,False
3883,98.64040000000008,39.13300000000001,40.35791302149178,14.88934087753296,0.1211,0.0946,0.2157,0.026499999999999996,24.571163653222065,True
3873,90.67320000000014,52.50749999999999,52.50750316868592,18.07130193710327,0.0992,0.0774,0.1766,0.0218,24.688561721404305,False
3938,74.42629999999997,48.46869999999999,50.04801675302246,15.32499885559082,0.13,0.0869,0.2169,0.0431,39.74181650530198,True
